,Unnamed: 0,realtime_start,realtime_end,date,value,自動新增,realtime_start_position,realtime_end_position,date_position
0,0,2005-04-28,2005-05-25,2005-01-01,11078.2,False,117,144,0
1,1,2005-05-26,2005-06-28,2005-01-01,11088.8,False,145,178,0
2,2,2005-06-29,2005-07-28,2005-01-01,11096.2,False,179,208,0
3,3,2005-07-29,2006-07-27,2005-01-01,10999.3,False,209,572,0
4,4,2006-07-28,2007-07-26,2005-01-01,10913.8,False,573,936,0
5,5,2007-07-27,2008-07-30,2005-01-01,10878.4,False,937,1306,0
6,6,2008-07-31,2009-07-30,2005-01-01,10875.8,False,1307,1671,0
7,7,2009-07-31,2011-07-28,2005-01-01,12534.1,False,1672,2399,0
8,8,2011-07-29,2013-07-30,2005-01-01,12515.0,False,2400,3132,0
9,9,2013-07-31,2014-07-29,2005-01-01,14100.2,False,3133,3496,0
10,10,2014-07-30,2017-10-26,2005-01-01,14099.1,False,3497,4681,0
11,11,2017-10-27,2018-07-26,2005-01-01,14099.081,False,4682,4954,0
12,12,2018-07-27,2021-07-28,2005-01-01,14771.602,False,4955,6052,0
13,13,2021-07-29,2023-09-27,2005-01-01,14767.846,False,6053,6843,0
14,14,2023-09-28,2025-02-11,2005-01-01,15844.727,False,6844,7346,0
15,15,2005-07-29,2005-08-30,2005-04-01,11092.0,False,209,241,90
16,16,2005-08-31,2005-09-28,2005-04-01,11088.6,False,242,270,90
17,17,2005-09-29,2006-07-27,2005-04-01,11089.2,False,271,572,90
18,18,2006-07-28,2007-07-26,2005-04-01,11001.8,False,573,936,90
19,19,2007-07-27,2008-07-30,2005-04-01,10954.1,False,937,1306,90
20,20,2008-07-31,2009-07-30,2005-04-01,10946.1,False,1307,1671,90
21,21,2009-07-31,2011-07-28,2005-04-01,12587.5,False,1672,2399,90
22,22,2011-07-29,2013-07-30,2005-04-01,12570.7,False,2400,3132,90
23,23,2013-07-31,2014-07-29,2005-04-01,14177.2,False,3133,3496,90
24,24,2014-07-30,2017-10-26,2005-04-01,14172.7,False,3497,4681,90
25,25,2017-10-27,2018-07-26,2005-04-01,14172.695,False,4682,4954,90
26,26,2018-07-27,2021-07-28,2005-04-01,14839.782,False,4955,6052,90
27,27,2021-07-29,2023-09-27,2005-04-01,14839.707,False,6053,6843,90
28,28,2023-09-28,2025-02-11,2005-04-01,15922.782,False,6844,7346,90
29,29,2005-10-28,2005-11-29,2005-07-01,11193.2,False,300,332,181
30,30,2005-11-30,2005-12-20,2005-07-01,11206.1,False,333,353,181
31,31,2005-12-21,2006-07-27,2005-07-01,11202.3,False,354,572,181
32,32,2006-07-28,2007-07-26,2005-07-01,11115.1,False,573,936,181
33,33,2007-07-27,2008-07-30,2005-07-01,11074.3,False,937,1306,181
34,34,2008-07-31,2009-07-30,2005-07-01,11050.0,False,1307,1671,181
35,35,2009-07-31,2011-07-28,2005-07-01,12683.2,False,1672,2399,181
36,36,2011-07-29,2013-07-30,2005-07-01,12670.5,False,2400,3132,181
