,realtime_start,realtime_end,date,value
0,2014-03-07,2014-10-21,2005-01-01,2.310000000
1,2014-10-22,2014-11-19,2005-01-01,2.305265000
2,2014-11-20,2015-02-25,2005-01-01,2.310000000
3,2015-02-26,2018-03-12,2005-01-01,2.320000000
4,2018-03-13,2018-04-10,2005-01-01,2.300000000
5,2018-04-11,2018-06-11,2005-01-01,2.320000000
6,2018-06-12,2018-07-11,2005-01-01,2.300000000
7,2018-07-12,2021-02-09,2005-01-01,2.316436761
8,2021-02-10,2024-02-12,2005-01-01,2.3158903
9,2024-02-13,9999-12-31,2005-01-01,2.308836
10,2014-03-07,2014-10-21,2005-02-01,2.290000000
11,2014-10-22,2014-11-19,2005-02-01,2.287978000
12,2014-11-20,2018-03-12,2005-02-01,2.290000000
13,2018-03-13,2018-04-10,2005-02-01,2.300000000
14,2018-04-11,2018-06-11,2005-02-01,2.290000000
15,2018-06-12,2018-07-11,2005-02-01,2.300000000
16,2018-07-12,2021-02-09,2005-02-01,2.286142364
17,2021-02-10,2024-02-12,2005-02-01,2.2862449
18,2024-02-13,9999-12-31,2005-02-01,2.279146
19,2014-03-07,2014-10-21,2005-03-01,2.230000000
20,2014-10-22,2014-11-19,2005-03-01,2.233305000
21,2014-11-20,2015-02-25,2005-03-01,2.230000000
22,2015-02-26,2018-03-12,2005-03-01,2.250000000
23,2018-03-13,2018-04-10,2005-03-01,2.200000000
24,2018-04-11,2018-06-11,2005-03-01,2.250000000
25,2018-06-12,2018-07-11,2005-03-01,2.200000000
26,2018-07-12,2021-02-09,2005-03-01,2.246184017
27,2021-02-10,2024-02-12,2005-03-01,2.2461526
28,2024-02-13,9999-12-31,2005-03-01,2.238654
29,2014-03-07,2014-10-21,2005-04-01,2.260000000
30,2014-10-22,2014-11-19,2005-04-01,2.261877000
31,2014-11-20,2015-02-25,2005-04-01,2.260000000
32,2015-02-26,2018-03-12,2005-04-01,2.240000000
33,2018-03-13,2018-04-10,2005-04-01,2.200000000
34,2018-04-11,2018-06-11,2005-04-01,2.240000000
35,2018-06-12,2018-07-11,2005-04-01,2.200000000
36,2018-07-12,2021-02-09,2005-04-01,2.239297488
37,2021-02-10,2024-02-12,2005-04-01,2.2397223
38,2024-02-13,9999-12-31,2005-04-01,2.231837
39,2014-03-07,2014-10-21,2005-05-01,2.340000000
40,2014-10-22,2014-11-19,2005-05-01,2.340917000
41,2014-11-20,2015-02-25,2005-05-01,2.340000000
42,2015-02-26,2018-03-12,2005-05-01,2.360000000
43,2018-03-13,2018-04-10,2005-05-01,2.400000000
44,2018-04-11,2018-06-11,2005-05-01,2.360000000
45,2018-06-12,2018-07-11,2005-05-01,2.400000000
46,2018-07-12,2021-02-09,2005-05-01,2.357791986
47,2021-02-10,2024-02-12,2005-05-01,2.3579552
48,2024-02-13,9999-12-31,2005-05-01,2.350311
49,2014-03-07,2014-10-21,2005-06-01,2.200000000
50,2014-10-22,2014-11-19,2005-06-01,2.200925000
51,2014-11-20,2018-07-11,2005-06-01,2.200000000
52,2018-07-12,2021-02-09,2005-06-01,2.199562893
53,2021-02-10,2024-02-12,2005-06-01,2.1993552
54,2024-02-13,9999-12-31,2005-06-01,2.191008
55,2014-03-07,2014-10-21,2005-07-01,2.320000000
56,2014-10-22,2014-11-19,2005-07-01,2.321797000
57,2014-11-20,2015-02-25,2005-07-01,2.320000000
58,2015-02-26,2018-07-11,2005-07-01,2.300000000
59,2018-07-12,2021-02-09,2005-07-01,2.300806166
60,2021-02-10,2024-02-12,2005-07-01,2.3010794
61,2024-02-13,9999-12-31,2005-07-01,2.292571
62,2014-03-07,2014-10-21,2005-08-01,2.280000000
63,2014-10-22,2014-11-19,2005-08-01,2.278784000
64,2014-11-20,2015-02-25,2005-08-01,2.280000000
65,2015-02-26,2018-03-12,2005-08-01,2.260000000
66,2018-03-13,2018-04-10,2005-08-01,2.300000000
67,2018-04-11,2018-06-11,2005-08-01,2.260000000
68,2018-06-12,2018-07-11,2005-08-01,2.300000000
69,2018-07-12,2021-02-09,2005-08-01,2.264791229
70,2021-02-10,2024-02-12,2005-08-01,2.2644059
71,2024-02-13,9999-12-31,2005-08-01,2.256804
72,2014-03-07,2014-10-21,2005-09-01,2.330000000
73,2014-10-22,2014-11-19,2005-09-01,2.329005000
74,2014-11-20,2018-03-12,2005-09-01,2.330000000
75,2018-03-13,2018-04-10,2005-09-01,2.300000000
76,2018-04-11,2018-06-11,2005-09-01,2.330000000
77,2018-06-12,2018-07-11,2005-09-01,2.300000000
78,2018-07-12,2021-02-09,2005-09-01,2.33447919
79,2021-02-10,2024-02-12,2005-09-01,2.3340762
80,2024-02-13,9999-12-31,2005-09-01,2.326514
81,2014-03-07,2014-10-21,2005-10-01,2.320000000
