,realtime_start,realtime_end,date,value
0,2005-02-23,2006-02-16,2005-01-01,191.3
1,2006-02-17,2007-02-15,2005-01-01,191.4
2,2007-02-16,2008-02-14,2005-01-01,191.3
3,2008-02-15,2009-02-17,2005-01-01,191.700
4,2009-02-18,2010-02-16,2005-01-01,191.800
5,2010-02-17,9999-12-31,2005-01-01,191.600
6,2005-03-23,2006-02-16,2005-02-01,192.0
7,2006-02-17,2008-02-14,2005-02-01,192.1
8,2008-02-15,2009-02-17,2005-02-01,192.300
9,2009-02-18,9999-12-31,2005-02-01,192.400
10,2005-04-20,2007-02-15,2005-03-01,193.2
11,2007-02-16,2008-02-14,2005-03-01,193.0
12,2008-02-15,2009-02-17,2005-03-01,192.900
13,2009-02-18,9999-12-31,2005-03-01,193.100
14,2005-05-18,2006-02-16,2005-04-01,194.2
15,2006-02-17,2007-02-15,2005-04-01,194.1
16,2007-02-16,2008-02-14,2005-04-01,193.9
17,2008-02-15,2010-02-16,2005-04-01,193.800
18,2010-02-17,9999-12-31,2005-04-01,193.700
19,2005-06-15,2006-02-16,2005-05-01,194.1
20,2006-02-17,2008-02-14,2005-05-01,194.0
21,2008-02-15,2010-02-16,2005-05-01,193.500
22,2010-02-17,9999-12-31,2005-05-01,193.600
23,2005-07-14,2006-02-16,2005-06-01,194.1
24,2006-02-17,2007-02-15,2005-06-01,193.9
25,2007-02-16,2008-02-14,2005-06-01,194.0
26,2008-02-15,2010-02-16,2005-06-01,193.600
27,2010-02-17,9999-12-31,2005-06-01,193.700
28,2005-08-16,2008-02-14,2005-07-01,195.1
29,2008-02-15,2009-02-17,2005-07-01,194.900
30,2009-02-18,2010-02-16,2005-07-01,194.700
31,2010-02-17,9999-12-31,2005-07-01,194.900
32,2005-09-15,2006-02-16,2005-08-01,196.1
33,2006-02-17,2009-02-17,2005-08-01,196.2
34,2009-02-18,2010-02-16,2005-08-01,196.000
35,2010-02-17,9999-12-31,2005-08-01,196.100
36,2005-10-14,2006-02-16,2005-09-01,198.5
37,2006-02-17,2008-02-14,2005-09-01,198.6
38,2008-02-15,2009-02-17,2005-09-01,198.800
39,2009-02-18,2010-02-16,2005-09-01,198.700
40,2010-02-17,9999-12-31,2005-09-01,198.800
41,2005-11-16,2006-02-16,2005-10-01,198.9
42,2006-02-17,2007-02-15,2005-10-01,199.1
43,2007-02-16,2010-02-16,2005-10-01,199.2
44,2010-02-17,9999-12-31,2005-10-01,199.100
45,2005-12-15,2007-02-15,2005-11-01,197.8
46,2007-02-16,2008-02-14,2005-11-01,197.9
47,2008-02-15,2009-02-17,2005-11-01,198.300
48,2009-02-18,2010-02-16,2005-11-01,198.400
49,2010-02-17,9999-12-31,2005-11-01,198.100
50,2006-01-18,2007-02-15,2005-12-01,197.7
51,2007-02-16,2008-02-14,2005-12-01,197.8
52,2008-02-15,2009-02-17,2005-12-01,198.200
53,2009-02-18,2010-02-16,2005-12-01,198.300
54,2010-02-17,9999-12-31,2005-12-01,198.100
55,2006-02-22,2008-02-14,2006-01-01,199.0
56,2008-02-15,2010-02-16,2006-01-01,199.400
57,2010-02-17,2011-02-14,2006-01-01,199.200
58,2011-02-15,9999-12-31,2006-01-01,199.300
59,2006-03-16,2008-02-14,2006-02-01,199.1
60,2008-02-15,2009-02-17,2006-02-01,199.300
61,2009-02-18,2010-02-16,2006-02-01,199.500
62,2010-02-17,9999-12-31,2006-02-01,199.400
63,2006-04-19,2007-02-15,2006-03-01,199.8
64,2007-02-16,2009-02-17,2006-03-01,199.6
65,2009-02-18,2010-02-16,2006-03-01,199.800
66,2010-02-17,9999-12-31,2006-03-01,199.700
67,2006-05-17,2007-02-15,2006-04-01,201.0
68,2007-02-16,2008-02-14,2006-04-01,200.8
69,2008-02-15,2009-02-17,2006-04-01,200.600
70,2009-02-18,2010-02-16,2006-04-01,200.700
71,2010-02-17,2011-02-14,2006-04-01,200.600
72,2011-02-15,9999-12-31,2006-04-01,200.700
73,2006-06-14,2008-02-14,2006-05-01,201.9
74,2008-02-15,2010-02-16,2006-05-01,201.300
75,2010-02-17,2011-02-14,2006-05-01,201.400
76,2011-02-15,9999-12-31,2006-05-01,201.300
77,2006-07-19,2007-02-15,2006-06-01,202.3
78,2007-02-16,2008-02-14,2006-06-01,202.4
79,2008-02-15,2009-02-17,2006-06-01,201.900
80,2009-02-18,2010-02-16,2006-06-01,201.700
81,2010-02-17,2011-02-14,2006-06-01,201.900
82,2011-02-15,9999-12-31,2006-06-01,201.800
83,2006-08-16,2008-02-14,2006-07-01,203.2
84,2008-02-15,2009-02-17,2006-07-01,202.900
85,2009-02-18,2010-02-16,2006-07-01,202.700
86,2010-02-17,9999-12-31,2006-07-01,202.900
87,2006-09-15,2007-02-15,2006-08-01,203.7
88,2007-02-16,2009-02-17,2006-08-01,203.8
89,2009-02-18,2010-02-16,2006-08-01,203.600
90,2010-02-17,2011-02-14,2006-08-01,203.700
91,2011-02-15,9999-12-31,2006-08-01,203.800
92,2006-10-18,2008-02-14,2006-09-01,202.7
93,2008-02-15,2009-02-17,2006-09-01,202.900
94,2009-02-18,2010-02-16,2006-09-01,202.800
95,2010-02-17,2011-02-14,2006-09-01,202.900
96,2011-02-15,9999-12-31,2006-09-01,202.800
97,2006-11-16,2007-02-15,2006-10-01,201.7
98,2007-02-16,2008-02-14,2006-10-01,201.8
99,2008-02-15,2010-02-16,2006-10-01,201.900
100,2010-02-17,2011-02-14,2006-10-01,201.800
101,2011-02-15,9999-12-31,2006-10-01,201.900
102,2006-12-15,2007-02-15,2006-11-01,201.7
103,2007-02-16,2008-02-14,2006-11-01,201.9
104,2008-02-15,2009-02-17,2006-11-01,202.100
105,2009-02-18,2010-02-16,2006-11-01,202.300
106,2010-02-17,9999-12-31,2006-11-01,202.000
107,2007-01-18,2008-02-14,2006-12-01,202.8
108,2008-02-15,2010-02-16,2006-12-01,203.300
109,2010-02-17,9999-12-31,2006-12-01,203.100
110,2007-02-21,2008-02-14,2007-01-01,203.153
111,2008-02-15,2009-02-17,2007-01-01,203.552
112,2009-02-18,2010-02-16,2007-01-01,203.574
113,2010-02-17,2011-02-14,2007-01-01,203.372
114,2011-02-15,2012-02-14,2007-01-01,203.379
115,2012-02-15,9999-12-31,2007-01-01,203.437
116,2007-03-16,2008-02-14,2007-02-01,203.906
117,2008-02-15,2009-02-17,2007-02-01,204.158
118,2009-02-18,2010-02-16,2007-02-01,204.357
119,2010-02-17,2011-02-14,2007-02-01,204.258
120,2011-02-15,2012-02-14,2007-02-01,204.238
121,2012-02-15,9999-12-31,2007-02-01,204.226
122,2007-04-17,2008-02-14,2007-03-01,205.146
123,2008-02-15,2009-02-17,2007-03-01,205.098
124,2009-02-18,2010-02-16,2007-03-01,205.348
125,2010-02-17,2011-02-14,2007-03-01,205.312
126,2011-02-15,2012-02-14,2007-03-01,205.247
127,2012-02-15,9999-12-31,2007-03-01,205.288
128,2007-05-15,2008-02-14,2007-04-01,205.999
129,2008-02-15,2009-02-17,2007-04-01,205.751
130,2009-02-18,2010-02-16,2007-04-01,205.920
131,2010-02-17,2011-02-14,2007-04-01,205.959
132,2011-02-15,2012-02-14,2007-04-01,206.010
133,2012-02-15,9999-12-31,2007-04-01,205.904
134,2007-06-15,2008-02-14,2007-05-01,207.387
135,2008-02-15,2009-02-17,2007-05-01,206.700
136,2009-02-18,2010-02-16,2007-05-01,206.682
