,realtime_start,realtime_end,date,value
0,2005-02-23,2006-02-16,2005-01-01,198.9
1,2006-02-17,9999-12-31,2005-01-01,199.0
2,2005-03-23,2007-02-15,2005-02-01,199.4
3,2007-02-16,2008-02-14,2005-02-01,199.5
4,2008-02-15,9999-12-31,2005-02-01,199.400
5,2005-04-20,2006-02-16,2005-03-01,200.1
6,2006-02-17,2009-02-17,2005-03-01,200.0
7,2009-02-18,9999-12-31,2005-03-01,200.100
8,2005-05-18,2009-02-17,2005-04-01,200.2
9,2009-02-18,2010-02-16,2005-04-01,200.300
10,2010-02-17,9999-12-31,2005-04-01,200.200
11,2005-06-15,9999-12-31,2005-05-01,200.5
12,2005-07-14,2006-02-16,2005-06-01,200.7
13,2006-02-17,9999-12-31,2005-06-01,200.6
14,2005-08-16,2007-02-15,2005-07-01,201.0
15,2007-02-16,9999-12-31,2005-07-01,200.9
16,2005-09-15,2009-02-17,2005-08-01,201.2
17,2009-02-18,9999-12-31,2005-08-01,201.100
18,2005-10-14,2006-02-16,2005-09-01,201.4
19,2006-02-17,2007-02-15,2005-09-01,201.5
20,2007-02-16,2009-02-17,2005-09-01,201.4
21,2009-02-18,9999-12-31,2005-09-01,201.300
22,2005-11-16,2006-02-16,2005-10-01,201.9
23,2006-02-17,9999-12-31,2005-10-01,202.0
24,2005-12-15,2006-02-16,2005-11-01,202.4
25,2006-02-17,9999-12-31,2005-11-01,202.5
26,2006-01-18,2007-02-15,2005-12-01,202.8
27,2007-02-16,2008-02-14,2005-12-01,202.9
28,2008-02-15,2009-02-17,2005-12-01,202.800
29,2009-02-18,2010-02-16,2005-12-01,202.900
30,2010-02-17,9999-12-31,2005-12-01,202.800
31,2006-02-22,9999-12-31,2006-01-01,203.2
32,2006-03-16,2007-02-15,2006-02-01,203.5
33,2007-02-16,9999-12-31,2006-02-01,203.6
34,2006-04-19,2009-02-17,2006-03-01,204.2
35,2009-02-18,9999-12-31,2006-03-01,204.300
36,2006-05-17,2009-02-17,2006-04-01,204.8
37,2009-02-18,2011-02-14,2006-04-01,204.900
38,2011-02-15,9999-12-31,2006-04-01,204.800
39,2006-06-14,2007-02-15,2006-05-01,205.4
40,2007-02-16,2008-02-14,2006-05-01,205.3
41,2008-02-15,2010-02-16,2006-05-01,205.400
42,2010-02-17,2011-02-14,2006-05-01,205.500
43,2011-02-15,9999-12-31,2006-05-01,205.400
44,2006-07-19,2007-02-15,2006-06-01,206.0
45,2007-02-16,2008-02-14,2006-06-01,205.9
46,2008-02-15,2011-02-14,2006-06-01,206.000
47,2011-02-15,9999-12-31,2006-06-01,205.900
48,2006-08-16,2009-02-17,2006-07-01,206.4
49,2009-02-18,9999-12-31,2006-07-01,206.300
50,2006-09-15,2009-02-17,2006-08-01,206.9
51,2009-02-18,9999-12-31,2006-08-01,206.800
52,2006-10-18,2007-02-15,2006-09-01,207.4
53,2007-02-16,2009-02-17,2006-09-01,207.3
54,2009-02-18,9999-12-31,2006-09-01,207.200
55,2006-11-16,9999-12-31,2006-10-01,207.6
56,2006-12-15,2007-02-15,2006-11-01,207.7
57,2007-02-16,2008-02-14,2006-11-01,207.8
58,2008-02-15,2009-02-17,2006-11-01,207.700
59,2009-02-18,9999-12-31,2006-11-01,207.800
60,2007-01-18,9999-12-31,2006-12-01,208.1
61,2007-02-21,2008-02-14,2007-01-01,208.632
