,realtime_start,realtime_end,date,value
0,2005-04-28,2005-05-25,2005-01-01,11078.2
1,2005-05-26,2005-06-28,2005-01-01,11088.8
2,2005-06-29,2005-07-28,2005-01-01,11096.2
3,2005-07-29,2006-07-27,2005-01-01,10999.3
4,2006-07-28,2007-07-26,2005-01-01,10913.8
5,2007-07-27,2008-07-30,2005-01-01,10878.4
6,2008-07-31,2009-07-30,2005-01-01,10875.8
7,2009-07-31,2011-07-28,2005-01-01,12534.1
8,2011-07-29,2013-07-30,2005-01-01,12515.0
9,2013-07-31,2014-07-29,2005-01-01,14100.2
10,2014-07-30,2017-10-26,2005-01-01,14099.1
11,2017-10-27,2018-07-26,2005-01-01,14099.081
12,2018-07-27,2021-07-28,2005-01-01,14771.602
13,2021-07-29,2023-09-27,2005-01-01,14767.846
14,2023-09-28,9999-12-31,2005-01-01,15844.727
15,2005-07-29,2005-08-30,2005-04-01,11092.0
16,2005-08-31,2005-09-28,2005-04-01,11088.6
17,2005-09-29,2006-07-27,2005-04-01,11089.2
18,2006-07-28,2007-07-26,2005-04-01,11001.8
19,2007-07-27,2008-07-30,2005-04-01,10954.1
20,2008-07-31,2009-07-30,2005-04-01,10946.1
21,2009-07-31,2011-07-28,2005-04-01,12587.5
22,2011-07-29,2013-07-30,2005-04-01,12570.7
23,2013-07-31,2014-07-29,2005-04-01,14177.2
24,2014-07-30,2017-10-26,2005-04-01,14172.7
25,2017-10-27,2018-07-26,2005-04-01,14172.695
26,2018-07-27,2021-07-28,2005-04-01,14839.782
27,2021-07-29,2023-09-27,2005-04-01,14839.707
28,2023-09-28,9999-12-31,2005-04-01,15922.782
29,2005-10-28,2005-11-29,2005-07-01,11193.2
30,2005-11-30,2005-12-20,2005-07-01,11206.1
31,2005-12-21,2006-07-27,2005-07-01,11202.3
32,2006-07-28,2007-07-26,2005-07-01,11115.1
33,2007-07-27,2008-07-30,2005-07-01,11074.3
34,2008-07-31,2009-07-30,2005-07-01,11050.0
35,2009-07-31,2011-07-28,2005-07-01,12683.2
36,2011-07-29,2013-07-30,2005-07-01,12670.5
37,2013-07-31,2014-07-29,2005-07-01,14292.9
38,2014-07-30,2017-10-26,2005-07-01,14291.8
39,2017-10-27,2018-07-26,2005-07-01,14291.757
40,2018-07-27,2021-07-28,2005-07-01,14972.054
41,2021-07-29,2023-09-27,2005-07-01,14956.291
42,2023-09-28,9999-12-31,2005-07-01,16047.587
43,2006-01-27,2006-02-27,2005-10-01,11233.5
44,2006-02-28,2006-03-29,2005-10-01,11247.6
45,2006-03-30,2006-07-27,2005-10-01,11248.3
46,2006-07-28,2007-07-26,2005-10-01,11163.8
47,2007-07-27,2008-07-30,2005-10-01,11107.2
48,2008-07-31,2009-07-30,2005-10-01,11086.1
49,2009-07-31,2011-07-28,2005-10-01,12748.7
50,2011-07-29,2013-07-30,2005-10-01,12735.6
51,2013-07-31,2014-07-29,2005-10-01,14372.0
52,2014-07-30,2017-10-26,2005-10-01,14373.4
53,2017-10-27,2018-07-26,2005-10-01,14373.438
54,2018-07-27,2021-07-28,2005-10-01,15066.597
55,2021-07-29,2023-09-27,2005-10-01,15041.232
56,2023-09-28,9999-12-31,2005-10-01,16136.734
57,2006-04-28,2006-05-24,2006-01-01,11381.4
58,2006-05-25,2006-06-28,2006-01-01,11394.7
59,2006-06-29,2006-07-27,2006-01-01,11403.6
60,2006-07-28,2007-07-26,2006-01-01,11316.4
61,2007-07-27,2008-07-30,2006-01-01,11238.7
62,2008-07-31,2009-07-30,2006-01-01,11217.3
63,2009-07-31,2011-07-28,2006-01-01,12915.9
64,2011-07-29,2013-07-30,2006-01-01,12896.4
65,2013-07-31,2014-07-29,2006-01-01,14546.4
66,2014-07-30,2017-10-26,2006-01-01,14546.1
67,2017-10-27,2018-07-26,2006-01-01,14546.119
68,2018-07-27,2021-07-28,2006-01-01,15267.026
69,2021-07-29,2023-09-27,2006-01-01,15244.088
70,2023-09-28,9999-12-31,2006-01-01,16353.835
71,2006-07-28,2006-08-29,2006-04-01,11385.3
72,2006-08-30,2006-09-27,2006-04-01,11397.6
73,2006-09-28,2007-07-26,2006-04-01,11388.1
74,2007-07-27,2008-07-30,2006-04-01,11306.7
75,2008-07-31,2009-07-30,2006-04-01,11291.7
76,2009-07-31,2011-07-28,2006-04-01,12962.5
77,2011-07-29,2013-07-30,2006-04-01,12948.7
78,2013-07-31,2014-07-29,2006-04-01,14591.6
79,2014-07-30,2017-10-26,2006-04-01,14589.6
80,2017-10-27,2018-07-26,2006-04-01,14589.585
81,2018-07-27,2021-07-28,2006-04-01,15302.705
82,2021-07-29,2023-09-27,2006-04-01,15281.525
83,2023-09-28,9999-12-31,2006-04-01,16396.151
84,2006-10-27,2006-11-28,2006-07-01,11432.9
85,2006-11-29,2006-12-20,2006-07-01,11450.5
86,2006-12-21,2007-07-26,2006-07-01,11443.5
87,2007-07-27,2008-07-30,2006-07-01,11336.7
88,2008-07-31,2009-07-30,2006-07-01,11314.1
89,2009-07-31,2011-07-28,2006-07-01,12965.9
90,2011-07-29,2013-07-30,2006-07-01,12950.4
91,2013-07-31,2014-07-29,2006-07-01,14604.4
92,2014-07-30,2017-10-26,2006-07-01,14602.6
93,2017-10-27,2018-07-26,2006-07-01,14602.633
94,2018-07-27,2021-07-28,2006-07-01,15326.368
95,2021-07-29,2023-09-27,2006-07-01,15304.517
96,2023-09-28,9999-12-31,2006-07-01,16420.738
97,2007-01-31,2007-02-27,2006-10-01,11541.6
98,2007-02-28,2007-03-28,2006-10-01,11506.5
99,2007-03-29,2007-07-26,2006-10-01,11513.0
100,2007-07-27,2008-07-30,2006-10-01,11395.5
101,2008-07-31,2009-07-30,2006-10-01,11356.4
102,2009-07-31,2011-07-28,2006-10-01,13060.7
103,2011-07-29,2013-07-30,2006-10-01,13038.4
104,2013-07-31,2014-07-29,2006-10-01,14718.4
105,2014-07-30,2017-10-26,2006-10-01,14716.9
106,2017-10-27,2018-07-26,2006-10-01,14716.93
107,2018-07-27,2021-07-28,2006-10-01,15456.928
108,2021-07-29,2023-09-27,2006-10-01,15433.643
109,2023-09-28,9999-12-31,2006-10-01,16561.866
110,2007-04-27,2007-05-30,2007-01-01,11549.1
111,2007-05-31,2007-06-27,2007-01-01,11531.7
112,2007-06-28,2007-07-26,2007-01-01,11532.8
113,2007-07-27,2008-07-30,2007-01-01,11412.6
114,2008-07-31,2009-07-30,2007-01-01,11357.8
115,2009-07-31,2010-07-29,2007-01-01,13099.9
116,2010-07-30,2011-07-28,2007-01-01,13089.3
117,2011-07-29,2013-07-30,2007-01-01,13056.1
118,2013-07-31,2014-07-29,2007-01-01,14728.1
119,2014-07-30,2017-10-26,2007-01-01,14726.0
120,2017-10-27,2018-07-26,2007-01-01,14726.022
121,2018-07-27,2021-07-28,2007-01-01,15493.328
122,2021-07-29,2023-09-27,2007-01-01,15478.956
123,2023-09-28,9999-12-31,2007-01-01,16611.69
124,2007-07-27,2007-08-29,2007-04-01,11507.9
125,2007-08-30,2007-09-26,2007-04-01,11523.8
126,2007-09-27,2008-07-30,2007-04-01,11520.1
127,2008-07-31,2009-07-30,2007-04-01,11491.4
128,2009-07-31,2010-07-29,2007-04-01,13204.0
129,2010-07-30,2011-07-28,2007-04-01,13194.1
130,2011-07-29,2013-07-30,2007-04-01,13173.6
131,2013-07-31,2014-07-29,2007-04-01,14841.5
132,2014-07-30,2017-10-26,2007-04-01,14838.7
133,2017-10-27,2018-07-26,2007-04-01,14838.664
134,2018-07-27,2021-07-28,2007-04-01,15582.085
135,2021-07-29,2023-09-27,2007-04-01,15577.779
136,2023-09-28,9999-12-31,2007-04-01,16713.314
137,2007-10-31,2007-11-28,2007-07-01,11630.7
138,2007-11-29,2007-12-19,2007-07-01,11659.3
139,2007-12-20,2008-07-30,2007-07-01,11658.9
140,2008-07-31,2009-07-30,2007-07-01,11625.7
141,2009-07-31,2010-07-29,2007-07-01,13321.1
142,2010-07-30,2011-07-28,2007-07-01,13268.5
143,2011-07-29,2013-07-30,2007-07-01,13269.8
144,2013-07-31,2014-07-29,2007-07-01,14941.5
