,realtime_start,realtime_end,date,value
0,2005-02-16,2005-03-15,2005-01-01,117.667
1,2005-03-16,2005-04-14,2005-01-01,117.991
2,2005-04-15,2005-05-16,2005-01-01,117.948
3,2005-05-17,2005-11-06,2005-01-01,117.753
4,2005-11-07,2006-04-13,2005-01-01,106.948
5,2006-04-14,2006-12-10,2005-01-01,106.9478
6,2006-12-11,2008-03-27,2005-01-01,105.5963
7,2008-03-28,2009-03-26,2005-01-01,106.2584
8,2009-03-27,2010-06-24,2005-01-01,106.3014
9,2010-06-25,2011-03-24,2005-01-01,94.5029
10,2011-03-25,2012-03-29,2005-01-01,94.6481
11,2012-03-30,2013-03-21,2005-01-01,94.7802
12,2013-03-22,2014-04-15,2005-01-01,94.7075
13,2014-04-16,2015-07-20,2005-01-01,94.7136
14,2015-07-21,2016-03-31,2005-01-01,98.7886
15,2016-04-01,2017-03-30,2005-01-01,99.4170
16,2017-03-31,2018-03-22,2005-01-01,99.0020
17,2018-03-23,2019-03-26,2005-01-01,98.7904
18,2019-03-27,2021-05-27,2005-01-01,98.7845
19,2021-05-28,2022-06-27,2005-01-01,96.1164
20,2022-06-28,2023-03-27,2005-01-01,95.9285
21,2023-03-28,2024-06-27,2005-01-01,95.8831
22,2024-06-28,9999-12-31,2005-01-01,95.8785
23,2005-03-16,2005-04-14,2005-02-01,118.393
24,2005-04-15,2005-05-16,2005-02-01,118.176
25,2005-05-17,2005-06-14,2005-02-01,118.331
26,2005-06-15,2005-11-06,2005-02-01,118.303
27,2005-11-07,2006-04-13,2005-02-01,107.361
28,2006-04-14,2006-12-10,2005-02-01,107.3608
29,2006-12-11,2008-03-27,2005-02-01,106.2295
30,2008-03-28,2009-03-26,2005-02-01,106.8705
31,2009-03-27,2010-06-24,2005-02-01,106.9895
32,2010-06-25,2011-03-24,2005-02-01,95.1507
33,2011-03-25,2012-03-29,2005-02-01,95.2783
34,2012-03-30,2013-03-21,2005-02-01,95.3804
35,2013-03-22,2014-04-15,2005-02-01,95.3015
36,2014-04-16,2015-07-20,2005-02-01,95.3245
37,2015-07-21,2016-03-31,2005-02-01,99.4359
38,2016-04-01,2017-03-30,2005-02-01,100.0955
39,2017-03-31,2018-03-22,2005-02-01,99.6741
40,2018-03-23,2019-03-26,2005-02-01,99.4550
41,2019-03-27,2021-05-27,2005-02-01,99.4639
42,2021-05-28,2022-06-27,2005-02-01,96.8200
43,2022-06-28,2023-03-27,2005-02-01,96.6287
44,2023-03-28,2024-06-27,2005-02-01,96.5616
45,2024-06-28,9999-12-31,2005-02-01,96.5709
46,2005-04-15,2005-05-16,2005-03-01,118.527
47,2005-05-17,2005-07-14,2005-03-01,118.507
48,2005-07-15,2005-11-06,2005-03-01,118.595
49,2005-11-07,2006-04-13,2005-03-01,107.312
50,2006-04-14,2006-12-10,2005-03-01,107.3115
51,2006-12-11,2008-03-27,2005-03-01,106.1033
52,2008-03-28,2009-03-26,2005-03-01,106.8335
53,2009-03-27,2010-06-24,2005-03-01,106.8642
54,2010-06-25,2011-03-24,2005-03-01,95.1209
55,2011-03-25,2012-03-29,2005-03-01,95.1945
56,2012-03-30,2013-03-21,2005-03-01,95.3013
57,2013-03-22,2014-04-15,2005-03-01,95.2423
58,2014-04-16,2015-07-20,2005-03-01,95.2402
59,2015-07-21,2016-03-31,2005-03-01,99.3247
60,2016-04-01,2017-03-30,2005-03-01,99.9283
61,2017-03-31,2018-03-22,2005-03-01,99.5181
62,2018-03-23,2019-03-26,2005-03-01,99.3156
63,2019-03-27,2021-05-27,2005-03-01,99.3061
64,2021-05-28,2022-06-27,2005-03-01,96.6725
65,2022-06-28,2023-03-27,2005-03-01,96.4907
66,2023-03-28,2024-06-27,2005-03-01,96.4371
67,2024-06-28,9999-12-31,2005-03-01,96.4345
68,2005-05-17,2005-06-14,2005-04-01,118.277
69,2005-06-15,2005-07-14,2005-04-01,118.165
70,2005-07-15,2005-08-15,2005-04-01,118.228
71,2005-08-16,2005-11-06,2005-04-01,118.067
72,2005-11-07,2006-04-13,2005-04-01,107.184
73,2006-04-14,2006-12-10,2005-04-01,107.1838
74,2006-12-11,2008-03-27,2005-04-01,106.2128
75,2008-03-28,2009-03-26,2005-04-01,106.7592
76,2009-03-27,2010-06-24,2005-04-01,106.8381
77,2010-06-25,2011-03-24,2005-04-01,95.1557
78,2011-03-25,2012-03-29,2005-04-01,95.2273
79,2012-03-30,2013-03-21,2005-04-01,95.3483
80,2013-03-22,2014-04-15,2005-04-01,95.3260
81,2014-04-16,2015-07-20,2005-04-01,95.3681
82,2015-07-21,2016-03-31,2005-04-01,99.4595
83,2016-04-01,2017-03-30,2005-04-01,100.0742
84,2017-03-31,2018-03-22,2005-04-01,99.6518
85,2018-03-23,2019-03-26,2005-04-01,99.4648
86,2019-03-27,2021-05-27,2005-04-01,99.4734
87,2021-05-28,2022-06-27,2005-04-01,96.8638
88,2022-06-28,2023-03-27,2005-04-01,96.6809
89,2023-03-28,2024-06-27,2005-04-01,96.6280
90,2024-06-28,9999-12-31,2005-04-01,96.6347
91,2005-06-15,2005-07-14,2005-05-01,118.641
92,2005-07-15,2005-08-15,2005-05-01,118.631
93,2005-08-16,2005-09-13,2005-05-01,118.427
94,2005-09-14,2005-11-06,2005-05-01,118.466
95,2005-11-07,2006-04-13,2005-05-01,107.434
96,2006-04-14,2006-12-10,2005-05-01,107.4337
97,2006-12-11,2008-03-27,2005-05-01,106.6034
98,2008-03-28,2009-03-26,2005-05-01,107.1010
99,2009-03-27,2010-06-24,2005-05-01,107.1410
100,2010-06-25,2011-03-24,2005-05-01,95.3701
101,2011-03-25,2012-03-29,2005-05-01,95.3801
102,2012-03-30,2013-03-21,2005-05-01,95.5193
103,2013-03-22,2014-04-15,2005-05-01,95.5000
104,2014-04-16,2015-07-20,2005-05-01,95.5331
105,2015-07-21,2016-03-31,2005-05-01,99.6415
106,2016-04-01,2017-03-30,2005-05-01,100.2414
107,2017-03-31,2018-03-22,2005-05-01,99.8158
108,2018-03-23,2019-03-26,2005-05-01,99.5970
109,2019-03-27,2021-05-27,2005-05-01,99.6033
110,2021-05-28,2022-06-27,2005-05-01,96.9622
111,2022-06-28,2023-03-27,2005-05-01,96.7925
112,2023-03-28,2024-06-27,2005-05-01,96.7306
113,2024-06-28,9999-12-31,2005-05-01,96.7251
114,2005-07-15,2005-08-15,2005-06-01,119.657
115,2005-08-16,2005-09-13,2005-06-01,119.380
116,2005-09-14,2005-10-13,2005-06-01,119.406
117,2005-10-14,2005-11-06,2005-06-01,119.384
118,2005-11-07,2006-04-13,2005-06-01,108.290
119,2006-04-14,2006-12-10,2005-06-01,108.2903
120,2006-12-11,2008-03-27,2005-06-01,107.2787
121,2008-03-28,2009-03-26,2005-06-01,107.5818
122,2009-03-27,2010-06-24,2005-06-01,107.5303
123,2010-06-25,2011-03-24,2005-06-01,95.6517
124,2011-03-25,2012-03-29,2005-06-01,95.7245
125,2012-03-30,2013-03-21,2005-06-01,95.8865
126,2013-03-22,2014-04-15,2005-06-01,95.9000
127,2014-04-16,2015-07-20,2005-06-01,95.9120
128,2015-07-21,2016-03-31,2005-06-01,100.0262
129,2016-04-01,2017-03-30,2005-06-01,100.6437
130,2017-03-31,2018-03-22,2005-06-01,100.2232
131,2018-03-23,2019-03-26,2005-06-01,99.9838
132,2019-03-27,2021-05-27,2005-06-01,99.9853
133,2021-05-28,2022-06-27,2005-06-01,97.3530
134,2022-06-28,2023-03-27,2005-06-01,97.1900
135,2023-03-28,2024-06-27,2005-06-01,97.1488
136,2024-06-28,9999-12-31,2005-06-01,97.1483
137,2005-08-16,2005-09-13,2005-07-01,119.444
138,2005-09-14,2005-10-13,2005-07-01,119.506
139,2005-10-14,2005-11-06,2005-07-01,119.429
140,2005-11-07,2005-11-16,2005-07-01,108.237
141,2005-11-17,2006-04-13,2005-07-01,108.273
142,2006-04-14,2006-12-10,2005-07-01,108.2725
143,2006-12-11,2008-03-27,2005-07-01,107.3023
144,2008-03-28,2009-03-26,2005-07-01,107.5563
145,2009-03-27,2010-06-24,2005-07-01,107.4652
146,2010-06-25,2011-03-24,2005-07-01,95.5617
147,2011-03-25,2012-03-29,2005-07-01,95.5785
148,2012-03-30,2013-03-21,2005-07-01,95.7483
149,2013-03-22,2014-04-15,2005-07-01,95.7684
150,2014-04-16,2015-07-20,2005-07-01,95.7242
151,2015-07-21,2016-03-31,2005-07-01,99.7447
152,2016-04-01,2017-03-30,2005-07-01,100.3278
153,2017-03-31,2018-03-22,2005-07-01,99.8997
154,2018-03-23,2019-03-26,2005-07-01,99.6737
155,2019-03-27,2021-05-27,2005-07-01,99.6692
156,2021-05-28,2022-06-27,2005-07-01,97.0425
157,2022-06-28,2023-03-27,2005-07-01,96.8981
158,2023-03-28,2024-06-27,2005-07-01,96.8383
159,2024-06-28,9999-12-31,2005-07-01,96.8397
160,2005-09-14,2005-10-13,2005-08-01,119.678
161,2005-10-14,2005-11-06,2005-08-01,119.611
162,2005-11-07,2005-11-16,2005-08-01,108.655
163,2005-11-17,2005-12-14,2005-08-01,108.470
164,2005-12-15,2006-04-13,2005-08-01,108.587
165,2006-04-14,2006-12-10,2005-08-01,108.5868
166,2006-12-11,2008-03-27,2005-08-01,107.5921
167,2008-03-28,2009-03-26,2005-08-01,107.7421
168,2009-03-27,2010-06-24,2005-08-01,107.6742
169,2010-06-25,2011-03-24,2005-08-01,95.7105
170,2011-03-25,2012-03-29,2005-08-01,95.7054
171,2012-03-30,2013-03-21,2005-08-01,95.8894
172,2013-03-22,2014-04-15,2005-08-01,95.8884
173,2014-04-16,2015-07-20,2005-08-01,95.8708
174,2015-07-21,2016-03-31,2005-08-01,99.9372
175,2016-04-01,2017-03-30,2005-08-01,100.5151
176,2017-03-31,2018-03-22,2005-08-01,100.1025
177,2018-03-23,2019-03-26,2005-08-01,99.9451
178,2019-03-27,2021-05-27,2005-08-01,99.9435
179,2021-05-28,2022-06-27,2005-08-01,97.3856
180,2022-06-28,2023-03-27,2005-08-01,97.2223
181,2023-03-28,2024-06-27,2005-08-01,97.1603
182,2024-06-28,9999-12-31,2005-08-01,97.1584
183,2005-10-14,2005-11-06,2005-09-01,118.016
184,2005-11-07,2005-11-16,2005-09-01,107.055
185,2005-11-17,2005-12-14,2005-09-01,106.864
186,2005-12-15,2006-01-16,2005-09-01,106.860
187,2006-01-17,2006-04-13,2005-09-01,107.160
188,2006-04-14,2006-12-10,2005-09-01,107.1604
189,2006-12-11,2008-03-27,2005-09-01,105.8396
190,2008-03-28,2009-03-26,2005-09-01,105.8028
191,2009-03-27,2010-06-24,2005-09-01,105.8112
192,2010-06-25,2011-03-24,2005-09-01,93.8203
193,2011-03-25,2012-03-29,2005-09-01,93.8027
194,2012-03-30,2013-03-21,2005-09-01,93.9872
195,2013-03-22,2014-04-15,2005-09-01,94.0153
196,2014-04-16,2015-07-20,2005-09-01,93.9661
197,2015-07-21,2016-03-31,2005-09-01,98.0478
198,2016-04-01,2017-03-30,2005-09-01,98.6063
199,2017-03-31,2018-03-22,2005-09-01,98.2644
200,2018-03-23,2019-03-26,2005-09-01,98.0824
201,2019-03-27,2021-05-27,2005-09-01,98.0779
202,2021-05-28,2022-06-27,2005-09-01,95.5090
203,2022-06-28,2023-03-27,2005-09-01,95.3463
204,2023-03-28,2024-06-27,2005-09-01,95.2729
205,2024-06-28,9999-12-31,2005-09-01,95.2764
206,2005-11-17,2005-12-14,2005-10-01,107.877
207,2005-12-15,2006-01-16,2005-10-01,108.210
208,2006-01-17,2006-02-14,2005-10-01,108.237
209,2006-02-15,2006-04-13,2005-10-01,108.381
210,2006-04-14,2006-12-10,2005-10-01,108.3814
211,2006-12-11,2008-03-27,2005-10-01,107.0570
212,2008-03-28,2009-03-26,2005-10-01,107.0612
213,2009-03-27,2010-06-24,2005-10-01,107.0165
214,2010-06-25,2011-03-24,2005-10-01,94.7900
215,2011-03-25,2012-03-29,2005-10-01,94.9630
216,2012-03-30,2013-03-21,2005-10-01,95.1630
217,2013-03-22,2014-04-15,2005-10-01,95.1840
218,2014-04-16,2015-07-20,2005-10-01,95.1806
219,2015-07-21,2016-03-31,2005-10-01,99.3189
220,2016-04-01,2017-03-30,2005-10-01,99.8695
221,2017-03-31,2018-03-22,2005-10-01,99.4949
222,2018-03-23,2019-03-26,2005-10-01,99.3185
223,2019-03-27,2021-05-27,2005-10-01,99.3149
224,2021-05-28,2022-06-27,2005-10-01,96.6445
225,2022-06-28,2023-03-27,2005-10-01,96.4981
226,2023-03-28,2024-06-27,2005-10-01,96.4383
227,2024-06-28,9999-12-31,2005-10-01,96.4411
228,2005-12-15,2006-01-16,2005-11-01,108.960
229,2006-01-17,2006-02-14,2005-11-01,109.089
230,2006-02-15,2006-03-16,2005-11-01,109.547
231,2006-03-17,2006-04-13,2005-11-01,109.388
232,2006-04-14,2006-12-10,2005-11-01,109.3877
233,2006-12-11,2008-03-27,2005-11-01,108.2431
234,2008-03-28,2009-03-26,2005-11-01,108.1877
235,2009-03-27,2010-06-24,2005-11-01,108.2079
236,2010-06-25,2011-03-24,2005-11-01,95.8306
237,2011-03-25,2012-03-29,2005-11-01,95.8850
238,2012-03-30,2013-03-21,2005-11-01,96.0617
239,2013-03-22,2014-04-15,2005-11-01,96.1125
240,2014-04-16,2015-07-20,2005-11-01,96.1177
241,2015-07-21,2016-03-31,2005-11-01,100.2981
242,2016-04-01,2017-03-30,2005-11-01,100.9014
243,2017-03-31,2018-03-22,2005-11-01,100.5129
244,2018-03-23,2019-03-26,2005-11-01,100.3282
245,2019-03-27,2021-05-27,2005-11-01,100.3216
246,2021-05-28,2022-06-27,2005-11-01,97.6736
247,2022-06-28,2023-03-27,2005-11-01,97.5646
248,2023-03-28,2024-06-27,2005-11-01,97.4951
249,2024-06-28,9999-12-31,2005-11-01,97.5016
250,2006-01-17,2006-02-14,2005-12-01,109.762
251,2006-02-15,2006-03-16,2005-12-01,110.539
252,2006-03-17,2006-04-13,2005-12-01,110.448
253,2006-04-14,2006-12-10,2005-12-01,110.4282
254,2006-12-11,2008-03-27,2005-12-01,109.1496
255,2008-03-28,2009-03-26,2005-12-01,108.7646
256,2009-03-27,2010-06-24,2005-12-01,108.9077
257,2010-06-25,2011-03-24,2005-12-01,96.4042
258,2011-03-25,2012-03-29,2005-12-01,96.4321
259,2012-03-30,2013-03-21,2005-12-01,96.6672
260,2013-03-22,2014-04-15,2005-12-01,96.6602
261,2014-04-16,2015-07-20,2005-12-01,96.6690
262,2015-07-21,2016-03-31,2005-12-01,100.8948
263,2016-04-01,2017-03-30,2005-12-01,101.4873
264,2017-03-31,2018-03-22,2005-12-01,101.1118
265,2018-03-23,2019-03-26,2005-12-01,100.9458
266,2019-03-27,2021-05-27,2005-12-01,100.9437
267,2021-05-28,2022-06-27,2005-12-01,98.2108
268,2022-06-28,2023-03-27,2005-12-01,98.0222
269,2023-03-28,2024-06-27,2005-12-01,97.9788
270,2024-06-28,9999-12-31,2005-12-01,97.9723
271,2006-02-15,2006-03-16,2006-01-01,110.269
272,2006-03-17,2006-04-13,2006-01-01,110.156
273,2006-04-14,2006-05-15,2006-01-01,110.0230
274,2006-05-16,2006-12-10,2006-01-01,110.3486
275,2006-12-11,2008-03-27,2006-01-01,109.1081
276,2008-03-28,2009-03-26,2006-01-01,108.8216
277,2009-03-27,2010-06-24,2006-01-01,108.9392
278,2010-06-25,2011-03-24,2006-01-01,96.4220
279,2011-03-25,2012-03-29,2006-01-01,96.5785
280,2012-03-30,2013-03-21,2006-01-01,96.7924
281,2013-03-22,2014-04-15,2006-01-01,96.7540
282,2014-04-16,2015-07-20,2006-01-01,96.7856
283,2015-07-21,2016-03-31,2006-01-01,101.0256
284,2016-04-01,2017-03-30,2006-01-01,101.6088
285,2017-03-31,2018-03-22,2006-01-01,101.2313
286,2018-03-23,2019-03-26,2006-01-01,101.0637
287,2019-03-27,2021-05-27,2006-01-01,101.0627
288,2021-05-28,2022-06-27,2006-01-01,98.3353
289,2022-06-28,2023-03-27,2006-01-01,98.2044
290,2023-03-28,2024-06-27,2006-01-01,98.1305
291,2024-06-28,9999-12-31,2006-01-01,98.127
292,2006-03-17,2006-04-13,2006-02-01,110.878
293,2006-04-14,2006-05-15,2006-02-01,110.5679
294,2006-05-16,2006-06-14,2006-02-01,110.7523
295,2006-06-15,2006-12-10,2006-02-01,110.7354
296,2006-12-11,2008-03-27,2006-02-01,109.3862
297,2008-03-28,2009-03-26,2006-02-01,108.7387
298,2009-03-27,2010-06-24,2006-02-01,108.9298
299,2010-06-25,2011-03-24,2006-02-01,96.4857
300,2011-03-25,2012-03-29,2006-02-01,96.6560
301,2012-03-30,2013-03-21,2006-02-01,96.8809
302,2013-03-22,2014-04-15,2006-02-01,96.8319
303,2014-04-16,2015-07-20,2006-02-01,96.8261
304,2015-07-21,2016-03-31,2006-02-01,100.9981
305,2016-04-01,2017-03-30,2006-02-01,101.6839
306,2017-03-31,2018-03-22,2006-02-01,101.2755
307,2018-03-23,2019-03-26,2006-02-01,101.0761
308,2019-03-27,2021-05-27,2006-02-01,101.0669
309,2021-05-28,2022-06-27,2006-02-01,98.3412
310,2022-06-28,2023-03-27,2006-02-01,98.2404
311,2023-03-28,2024-06-27,2006-02-01,98.1779
312,2024-06-28,9999-12-31,2006-02-01,98.1687
313,2006-04-14,2006-05-15,2006-03-01,111.2088
314,2006-05-16,2006-06-14,2006-03-01,111.4077
315,2006-06-15,2006-07-16,2006-03-01,111.3389
316,2006-07-17,2006-12-10,2006-03-01,111.2410
317,2006-12-11,2008-03-27,2006-03-01,109.9597
318,2008-03-28,2009-03-26,2006-03-01,108.9974
319,2009-03-27,2010-06-24,2006-03-01,109.1254
320,2010-06-25,2011-03-24,2006-03-01,96.7100
321,2011-03-25,2012-03-29,2006-03-01,96.8605
322,2012-03-30,2013-03-21,2006-03-01,97.0768
323,2013-03-22,2014-04-15,2006-03-01,97.0741
324,2014-04-16,2015-07-20,2006-03-01,97.0742
325,2015-07-21,2016-03-31,2006-03-01,101.2658
326,2016-04-01,2017-03-30,2006-03-01,101.8522
327,2017-03-31,2018-03-22,2006-03-01,101.4651
328,2018-03-23,2019-03-26,2006-03-01,101.2742
329,2019-03-27,2021-05-27,2006-03-01,101.2751
330,2021-05-28,2022-06-27,2006-03-01,98.5915
331,2022-06-28,2023-03-27,2006-03-01,98.4742
332,2023-03-28,2024-06-27,2006-03-01,98.3898
333,2024-06-28,9999-12-31,2006-03-01,98.3913
334,2006-05-16,2006-06-14,2006-04-01,112.2624
335,2006-06-15,2006-07-16,2006-04-01,112.1919
336,2006-07-17,2006-08-15,2006-04-01,112.1539
337,2006-08-16,2006-12-10,2006-04-01,112.1048
338,2006-12-11,2008-03-27,2006-04-01,110.9443
339,2008-03-28,2009-03-26,2006-04-01,109.4348
340,2009-03-27,2010-06-24,2006-04-01,109.5112
341,2010-06-25,2011-03-24,2006-04-01,97.0894
342,2011-03-25,2012-03-29,2006-04-01,97.2669
343,2012-03-30,2013-03-21,2006-04-01,97.5199
344,2013-03-22,2014-04-15,2006-04-01,97.4499
345,2014-04-16,2015-07-20,2006-04-01,97.4400
346,2015-07-21,2016-03-31,2006-04-01,101.6644
347,2016-04-01,2017-03-30,2006-04-01,102.2952
348,2017-03-31,2018-03-22,2006-04-01,101.9012
349,2018-03-23,2019-03-26,2006-04-01,101.6854
350,2019-03-27,2021-05-27,2006-04-01,101.6813
351,2021-05-28,2022-06-27,2006-04-01,98.9042
352,2022-06-28,2023-03-27,2006-04-01,98.7765
353,2023-03-28,2024-06-27,2006-04-01,98.6769
354,2024-06-28,9999-12-31,2006-04-01,98.6826
355,2006-06-15,2006-07-16,2006-05-01,112.0991
356,2006-07-17,2006-08-15,2006-05-01,112.3215
357,2006-08-16,2006-09-14,2006-05-01,112.1594
358,2006-09-15,2006-12-10,2006-05-01,112.1737
359,2006-12-11,2008-03-27,2006-05-01,110.8746
360,2008-03-28,2009-03-26,2006-05-01,109.3408
361,2009-03-27,2010-06-24,2006-05-01,109.4153
362,2010-06-25,2011-03-24,2006-05-01,96.9846
363,2011-03-25,2012-03-29,2006-05-01,97.0877
364,2012-03-30,2013-03-21,2006-05-01,97.3547
365,2013-03-22,2014-04-15,2006-05-01,97.3416
366,2014-04-16,2015-07-20,2006-05-01,97.3002
367,2015-07-21,2016-03-31,2006-05-01,101.5254
368,2016-04-01,2017-03-30,2006-05-01,102.1531
369,2017-03-31,2018-03-22,2006-05-01,101.7589
370,2018-03-23,2019-03-26,2006-05-01,101.5801
371,2019-03-27,2021-05-27,2006-05-01,101.5790
372,2021-05-28,2022-06-27,2006-05-01,98.8999
373,2022-06-28,2023-03-27,2006-05-01,98.7884
374,2023-03-28,2024-06-27,2006-05-01,98.7052
375,2024-06-28,9999-12-31,2006-05-01,98.7074
376,2006-07-17,2006-08-15,2006-06-01,113.2096
377,2006-08-16,2006-09-14,2006-06-01,113.1081
378,2006-09-15,2006-10-16,2006-06-01,113.3715
379,2006-10-17,2006-12-10,2006-06-01,113.3990
380,2006-12-11,2008-03-27,2006-06-01,111.8594
381,2008-03-28,2009-03-26,2006-06-01,109.8664
382,2009-03-27,2010-06-24,2006-06-01,109.8756
383,2010-06-25,2011-03-24,2006-06-01,97.4172
384,2011-03-25,2012-03-29,2006-06-01,97.4540
385,2012-03-30,2013-03-21,2006-06-01,97.7055
386,2013-03-22,2014-04-15,2006-06-01,97.7165
387,2014-04-16,2015-07-20,2006-06-01,97.6752
388,2015-07-21,2016-03-31,2006-06-01,101.9173
389,2016-04-01,2017-03-30,2006-06-01,102.5220
