,realtime_start,realtime_end,date,value
0,2010-06-17,9999-12-31,2005-01-06,5.77
1,2010-06-17,9999-12-31,2005-01-13,5.74
2,2010-06-17,9999-12-31,2005-01-20,5.67
3,2010-06-17,9999-12-31,2005-01-27,5.66
4,2010-06-17,9999-12-31,2005-02-03,5.63
5,2010-06-17,9999-12-31,2005-02-10,5.57
6,2010-06-17,9999-12-31,2005-02-17,5.62
7,2010-06-17,9999-12-31,2005-02-24,5.69
8,2010-06-17,9999-12-31,2005-03-03,5.79
9,2010-06-17,9999-12-31,2005-03-10,5.85
10,2010-06-17,9999-12-31,2005-03-17,5.95
11,2010-06-17,9999-12-31,2005-03-24,6.01
12,2010-06-17,9999-12-31,2005-03-31,6.04
13,2010-06-17,9999-12-31,2005-04-07,5.93
14,2010-06-17,9999-12-31,2005-04-14,5.91
15,2010-06-17,9999-12-31,2005-04-21,5.80
16,2010-06-17,9999-12-31,2005-04-28,5.78
17,2010-06-17,9999-12-31,2005-05-05,5.75
18,2010-06-17,9999-12-31,2005-05-12,5.77
19,2010-06-17,9999-12-31,2005-05-19,5.71
20,2010-06-17,9999-12-31,2005-05-26,5.65
21,2010-06-17,9999-12-31,2005-06-02,5.62
22,2010-06-17,9999-12-31,2005-06-09,5.56
23,2010-06-17,9999-12-31,2005-06-16,5.63
24,2010-06-17,9999-12-31,2005-06-23,5.57
25,2010-06-17,9999-12-31,2005-06-30,5.53
26,2010-06-17,9999-12-31,2005-07-07,5.62
27,2010-06-17,9999-12-31,2005-07-14,5.66
28,2010-06-17,9999-12-31,2005-07-21,5.73
29,2010-06-17,9999-12-31,2005-07-28,5.77
30,2010-06-17,9999-12-31,2005-08-04,5.82
31,2010-06-17,9999-12-31,2005-08-11,5.89
32,2010-06-17,9999-12-31,2005-08-18,5.80
33,2010-06-17,9999-12-31,2005-08-25,5.77
34,2010-06-17,9999-12-31,2005-09-01,5.71
35,2010-06-17,9999-12-31,2005-09-08,5.71
36,2010-06-17,9999-12-31,2005-09-15,5.74
37,2010-06-17,9999-12-31,2005-09-22,5.80
38,2010-06-17,9999-12-31,2005-09-29,5.91
39,2010-06-17,9999-12-31,2005-10-06,5.98
40,2010-06-17,9999-12-31,2005-10-13,6.03
41,2010-06-17,9999-12-31,2005-10-20,6.10
42,2010-06-17,9999-12-31,2005-10-27,6.15
43,2010-06-17,9999-12-31,2005-11-03,6.31
44,2010-06-17,9999-12-31,2005-11-10,6.36
45,2010-06-17,9999-12-31,2005-11-17,6.37
46,2010-06-17,9999-12-31,2005-11-23,6.28
47,2010-06-17,9999-12-31,2005-12-01,6.26
48,2010-06-17,9999-12-31,2005-12-08,6.32
49,2010-06-17,9999-12-31,2005-12-15,6.30
50,2010-06-17,9999-12-31,2005-12-22,6.26
51,2010-06-17,9999-12-31,2005-12-29,6.22
52,2010-06-17,9999-12-31,2006-01-05,6.21
53,2010-06-17,9999-12-31,2006-01-12,6.15
54,2010-06-17,9999-12-31,2006-01-19,6.10
55,2010-06-17,9999-12-31,2006-01-26,6.12
56,2010-06-17,9999-12-31,2006-02-02,6.23
57,2010-06-17,9999-12-31,2006-02-09,6.24
58,2010-06-17,9999-12-31,2006-02-16,6.28
59,2010-06-17,9999-12-31,2006-02-23,6.26
60,2010-06-17,9999-12-31,2006-03-02,6.24
61,2010-06-17,9999-12-31,2006-03-09,6.37
62,2010-06-17,9999-12-31,2006-03-16,6.34
63,2010-06-17,9999-12-31,2006-03-23,6.32
64,2010-06-17,9999-12-31,2006-03-30,6.35
65,2010-06-17,9999-12-31,2006-04-06,6.43
66,2010-06-17,9999-12-31,2006-04-13,6.49
67,2010-06-17,9999-12-31,2006-04-20,6.53
68,2010-06-17,9999-12-31,2006-04-27,6.58
69,2010-06-17,9999-12-31,2006-05-04,6.59
70,2010-06-17,9999-12-31,2006-05-11,6.58
71,2010-06-17,9999-12-31,2006-05-18,6.60
72,2010-06-17,9999-12-31,2006-05-25,6.62
73,2010-06-17,9999-12-31,2006-06-01,6.67
74,2010-06-17,9999-12-31,2006-06-08,6.62
75,2010-06-17,9999-12-31,2006-06-15,6.63
76,2010-06-17,9999-12-31,2006-06-22,6.71
77,2010-06-17,9999-12-31,2006-06-29,6.78
78,2010-06-17,9999-12-31,2006-07-06,6.79
79,2010-06-17,9999-12-31,2006-07-13,6.74
80,2010-06-17,9999-12-31,2006-07-20,6.80
81,2010-06-17,9999-12-31,2006-07-27,6.72
82,2010-06-17,9999-12-31,2006-08-03,6.63
83,2010-06-17,9999-12-31,2006-08-10,6.55
84,2010-06-17,9999-12-31,2006-08-17,6.52
85,2010-06-17,9999-12-31,2006-08-24,6.48
86,2010-06-17,9999-12-31,2006-08-31,6.44
87,2010-06-17,9999-12-31,2006-09-07,6.47
88,2010-06-17,9999-12-31,2006-09-14,6.43
89,2010-06-17,9999-12-31,2006-09-21,6.40
90,2010-06-17,9999-12-31,2006-09-28,6.31
91,2010-06-17,9999-12-31,2006-10-05,6.30
92,2010-06-17,9999-12-31,2006-10-12,6.37
93,2010-06-17,9999-12-31,2006-10-19,6.36
94,2010-06-17,9999-12-31,2006-10-26,6.40
95,2010-06-17,9999-12-31,2006-11-02,6.31
96,2010-06-17,9999-12-31,2006-11-09,6.33
97,2010-06-17,9999-12-31,2006-11-16,6.24
98,2010-06-17,9999-12-31,2006-11-22,6.18
99,2010-06-17,9999-12-31,2006-11-30,6.14
100,2010-06-17,9999-12-31,2006-12-07,6.11
101,2010-06-17,9999-12-31,2006-12-14,6.12
102,2010-06-17,9999-12-31,2006-12-21,6.13
103,2010-06-17,9999-12-31,2006-12-28,6.18
104,2010-06-17,9999-12-31,2007-01-04,6.18
105,2010-06-17,9999-12-31,2007-01-11,6.21
106,2010-06-17,9999-12-31,2007-01-18,6.23
107,2010-06-17,9999-12-31,2007-01-25,6.25
108,2010-06-17,9999-12-31,2007-02-01,6.34
109,2010-06-17,9999-12-31,2007-02-08,6.28
110,2010-06-17,9999-12-31,2007-02-15,6.30
111,2010-06-17,9999-12-31,2007-02-22,6.22
112,2010-06-17,9999-12-31,2007-03-01,6.18
113,2010-06-17,9999-12-31,2007-03-08,6.14
114,2010-06-17,9999-12-31,2007-03-15,6.14
115,2010-06-17,9999-12-31,2007-03-22,6.16
116,2010-06-17,9999-12-31,2007-03-29,6.16
117,2010-06-17,9999-12-31,2007-04-05,6.17
118,2010-06-17,9999-12-31,2007-04-12,6.22
119,2010-06-17,9999-12-31,2007-04-19,6.17
120,2010-06-17,9999-12-31,2007-04-26,6.16
121,2010-06-17,9999-12-31,2007-05-03,6.16
122,2010-06-17,9999-12-31,2007-05-10,6.15
123,2010-06-17,9999-12-31,2007-05-17,6.21
124,2010-06-17,9999-12-31,2007-05-24,6.37
125,2010-06-17,9999-12-31,2007-05-31,6.42
126,2010-06-17,9999-12-31,2007-06-07,6.53
127,2010-06-17,9999-12-31,2007-06-14,6.74
128,2010-06-17,9999-12-31,2007-06-21,6.69
129,2010-06-17,9999-12-31,2007-06-28,6.67
130,2010-06-17,9999-12-31,2007-07-05,6.63
131,2010-06-17,9999-12-31,2007-07-12,6.73
132,2010-06-17,9999-12-31,2007-07-19,6.73
133,2010-06-17,9999-12-31,2007-07-26,6.69
134,2010-06-17,9999-12-31,2007-08-02,6.68
135,2010-06-17,9999-12-31,2007-08-09,6.59
136,2010-06-17,9999-12-31,2007-08-16,6.62
137,2010-06-17,9999-12-31,2007-08-23,6.52
138,2010-06-17,9999-12-31,2007-08-30,6.45
139,2010-06-17,9999-12-31,2007-09-06,6.46
140,2010-06-17,9999-12-31,2007-09-13,6.31
141,2010-06-17,9999-12-31,2007-09-20,6.34
142,2010-06-17,9999-12-31,2007-09-27,6.42
143,2010-06-17,9999-12-31,2007-10-04,6.37
144,2010-06-17,9999-12-31,2007-10-11,6.40
145,2010-06-17,9999-12-31,2007-10-18,6.40
146,2010-06-17,9999-12-31,2007-10-25,6.33
147,2010-06-17,9999-12-31,2007-11-01,6.26
