,realtime_start,realtime_end,date,value
0,2005-02-04,2005-03-03,2005-01-01,132573
1,2005-03-04,2005-03-31,2005-01-01,132581
2,2005-04-01,2006-02-02,2005-01-01,132573
3,2006-02-03,2007-02-01,2005-01-01,132471
4,2007-02-02,2008-01-31,2005-01-01,132458
5,2008-02-01,2009-02-05,2005-01-01,132476
6,2009-02-06,2010-02-04,2005-01-01,132499
7,2010-02-05,2013-01-31,2005-01-01,132453
8,2013-02-01,2014-02-06,2005-01-01,132502
9,2014-02-07,2015-02-05,2005-01-01,132753
10,2015-02-06,2016-02-04,2005-01-01,132752
11,2016-02-05,2017-02-02,2005-01-01,132794
12,2017-02-03,2018-02-01,2005-01-01,132795
13,2018-02-02,2019-01-31,2005-01-01,132798
14,2019-02-01,2020-02-06,2005-01-01,132791
15,2020-02-07,2023-02-02,2005-01-01,132774
16,2023-02-03,2024-02-01,2005-01-01,132778
17,2024-02-02,9999-12-31,2005-01-01,132779
18,2005-03-04,2005-03-31,2005-02-01,132843
19,2005-04-01,2005-05-05,2005-02-01,132816
20,2005-05-06,2006-02-02,2005-02-01,132873
21,2006-02-03,2007-02-01,2005-02-01,132736
22,2007-02-02,2008-01-31,2005-02-01,132693
23,2008-02-01,2009-02-05,2005-02-01,132685
24,2009-02-06,2010-02-04,2005-02-01,132720
25,2010-02-05,2013-01-31,2005-02-01,132693
26,2013-02-01,2014-02-06,2005-02-01,132742
27,2014-02-07,2015-02-05,2005-02-01,132992
28,2015-02-06,2016-02-04,2005-02-01,132991
29,2016-02-05,2017-02-02,2005-02-01,133033
30,2017-02-03,2018-02-01,2005-02-01,133034
31,2018-02-02,2019-01-31,2005-02-01,133042
32,2019-02-01,2020-02-06,2005-02-01,133050
33,2020-02-07,2023-02-02,2005-02-01,133032
34,2023-02-03,9999-12-31,2005-02-01,133033
35,2005-04-01,2005-05-05,2005-03-01,132926
36,2005-05-06,2005-06-02,2005-03-01,133019
37,2005-06-03,2006-02-02,2005-03-01,132995
38,2006-02-03,2007-02-01,2005-03-01,132876
39,2007-02-02,2008-01-31,2005-03-01,132817
40,2008-02-01,2009-02-05,2005-03-01,132804
41,2009-02-06,2010-02-04,2005-03-01,132841
42,2010-02-05,2012-02-02,2005-03-01,132835
43,2012-02-03,2013-01-31,2005-03-01,132834
44,2013-02-01,2014-02-06,2005-03-01,132877
45,2014-02-07,2016-02-04,2005-03-01,133126
46,2016-02-05,2018-02-01,2005-03-01,133169
47,2018-02-02,2019-01-31,2005-03-01,133180
48,2019-02-01,2020-02-06,2005-03-01,133172
49,2020-02-07,2023-02-02,2005-03-01,133156
50,2023-02-03,2024-02-01,2005-03-01,133153
51,2024-02-02,9999-12-31,2005-03-01,133154
52,2005-05-06,2005-06-02,2005-04-01,133293
53,2005-06-03,2005-07-07,2005-04-01,133269
54,2005-07-08,2006-02-02,2005-04-01,133287
55,2006-02-03,2007-02-01,2005-04-01,133104
56,2007-02-02,2008-01-31,2005-04-01,133157
57,2008-02-01,2009-02-05,2005-04-01,133136
