,realtime_start,realtime_end,date,value
0,2005-02-18,9999-12-31,2005-01-01,150.9
1,2005-03-22,9999-12-31,2005-02-01,151.6
2,2005-04-19,2005-08-16,2005-03-01,153.6
3,2005-08-17,9999-12-31,2005-03-01,153.7
4,2005-05-17,9999-12-31,2005-04-01,155.0
5,2005-06-14,2005-10-17,2005-05-01,154.4
6,2005-10-18,9999-12-31,2005-05-01,154.3
7,2005-07-15,2005-11-14,2005-06-01,154.1
8,2005-11-15,9999-12-31,2005-06-01,154.3
9,2005-08-17,2005-12-19,2005-07-01,156.2
10,2005-12-20,9999-12-31,2005-07-01,156.3
11,2005-09-13,2006-01-12,2005-08-01,157.3
12,2006-01-13,9999-12-31,2005-08-01,157.6
13,2005-10-18,2006-02-14,2005-09-01,161.9
14,2006-02-15,9999-12-31,2005-09-01,162.2
15,2005-11-15,2006-03-20,2005-10-01,166.0
16,2006-03-21,9999-12-31,2005-10-01,166.2
17,2005-12-20,2006-04-17,2005-11-01,163.6
18,2006-04-18,9999-12-31,2005-11-01,163.7
19,2006-01-13,9999-12-31,2005-12-01,163.0
20,2006-02-17,2006-06-12,2006-01-01,164.6
21,2006-06-13,9999-12-31,2006-01-01,164.3
22,2006-03-21,2006-07-17,2006-02-01,161.9
23,2006-07-18,9999-12-31,2006-02-01,161.8
24,2006-04-18,2006-08-14,2006-03-01,162.0
25,2006-08-15,9999-12-31,2006-03-01,162.2
26,2006-05-16,2006-09-18,2006-04-01,163.8
27,2006-09-19,9999-12-31,2006-04-01,164.3
28,2006-06-13,2006-10-16,2006-05-01,165.3
29,2006-10-17,9999-12-31,2006-05-01,165.8
30,2006-07-18,2006-11-13,2006-06-01,165.9
31,2006-11-14,9999-12-31,2006-06-01,166.1
32,2006-08-15,2006-12-18,2006-07-01,167.1
33,2006-12-19,9999-12-31,2006-07-01,166.8
34,2006-09-19,9999-12-31,2006-08-01,167.9
35,2006-10-17,9999-12-31,2006-09-01,165.4
36,2006-11-14,2007-03-14,2006-10-01,162.0
37,2007-03-15,9999-12-31,2006-10-01,162.2
38,2006-12-19,2007-04-12,2006-11-01,165.1
39,2007-04-13,9999-12-31,2006-11-01,164.6
40,2007-01-17,2007-05-10,2006-12-01,166.0
41,2007-05-11,9999-12-31,2006-12-01,165.6
42,2007-02-16,2007-06-13,2007-01-01,164.2
43,2007-06-14,9999-12-31,2007-01-01,164.0
44,2007-03-15,2007-07-16,2007-02-01,167.3
45,2007-07-17,9999-12-31,2007-02-01,166.8
46,2007-04-13,2007-08-13,2007-03-01,169.7
47,2007-08-14,9999-12-31,2007-03-01,169.3
48,2007-05-11,2007-09-17,2007-04-01,171.2
49,2007-09-18,9999-12-31,2007-04-01,171.4
50,2007-06-14,2007-10-11,2007-05-01,173.4
51,2007-10-12,9999-12-31,2007-05-01,173.3
52,2007-07-17,2007-11-13,2007-06-01,173.7
53,2007-11-14,9999-12-31,2007-06-01,173.8
54,2007-08-14,2007-12-12,2007-07-01,174.9
55,2007-12-13,9999-12-31,2007-07-01,175.1
56,2007-09-18,9999-12-31,2007-08-01,172.4
57,2007-10-12,9999-12-31,2007-09-01,173.5
58,2007-11-14,2008-03-17,2007-10-01,174.4
59,2008-03-18,9999-12-31,2007-10-01,174.7
60,2007-12-13,2008-04-14,2007-11-01,179.4
61,2008-04-15,9999-12-31,2007-11-01,179.0
62,2008-01-15,9999-12-31,2007-12-01,178.6
63,2008-02-26,2008-06-16,2008-01-01,180.8
64,2008-06-17,9999-12-31,2008-01-01,181.0
65,2008-03-18,2008-07-14,2008-02-01,182.4
66,2008-07-15,9999-12-31,2008-02-01,182.7
67,2008-04-15,2008-08-18,2008-03-01,188.1
68,2008-08-19,9999-12-31,2008-03-01,187.9
69,2008-05-20,2008-09-11,2008-04-01,190.7
70,2008-09-12,9999-12-31,2008-04-01,190.9
71,2008-06-17,2008-10-14,2008-05-01,196.5
72,2008-10-15,9999-12-31,2008-05-01,196.6
73,2008-07-15,2008-11-17,2008-06-01,200.7
74,2008-11-18,9999-12-31,2008-06-01,200.5
75,2008-08-19,2008-12-11,2008-07-01,205.6
76,2008-12-12,9999-12-31,2008-07-01,205.5
77,2008-09-12,2009-01-14,2008-08-01,199.9
78,2009-01-15,9999-12-31,2008-08-01,199.0
79,2008-10-15,2009-02-16,2008-09-01,197.2
80,2009-02-17,9999-12-31,2008-09-01,196.9
81,2008-11-18,9999-12-31,2008-10-01,186.4
82,2008-12-12,2009-04-13,2008-11-01,177.5
83,2009-04-14,9999-12-31,2008-11-01,176.8
84,2009-01-15,2009-05-13,2008-12-01,171.3
85,2009-05-14,9999-12-31,2008-12-01,170.9
86,2009-02-19,2009-06-15,2009-01-01,171.0
87,2009-06-16,9999-12-31,2009-01-01,171.2
88,2009-03-17,2009-07-13,2009-02-01,169.5
89,2009-07-14,9999-12-31,2009-02-01,169.3
90,2009-04-14,9999-12-31,2009-03-01,168.1
91,2009-05-14,2009-09-14,2009-04-01,168.7
92,2009-09-15,9999-12-31,2009-04-01,169.1
93,2009-06-16,2009-10-19,2009-05-01,170.2
94,2009-10-20,9999-12-31,2009-05-01,170.8
95,2009-07-14,9999-12-31,2009-06-01,174.1
96,2009-08-18,2009-12-14,2009-07-01,172.7
97,2009-12-15,9999-12-31,2009-07-01,172.5
98,2009-09-15,2010-01-19,2009-08-01,175.1
99,2010-01-20,9999-12-31,2009-08-01,175.0
100,2009-10-20,2010-02-15,2009-09-01,174.6
101,2010-02-16,9999-12-31,2009-09-01,174.1
102,2009-11-17,2010-03-16,2009-10-01,175.3
103,2010-03-17,9999-12-31,2009-10-01,175.2
104,2009-12-15,2010-04-21,2009-11-01,177.7
105,2010-04-22,2010-05-17,2009-11-01,177.9
106,2010-05-18,9999-12-31,2009-11-01,177.4
107,2010-01-20,9999-12-31,2009-12-01,178.1
108,2010-02-18,2010-06-15,2010-01-01,182.0
109,2010-06-16,9999-12-31,2010-01-01,181.9
110,2010-03-17,2010-07-14,2010-02-01,180.9
111,2010-07-15,9999-12-31,2010-02-01,181.0
112,2010-04-22,9999-12-31,2010-03-01,183.3
113,2010-05-18,9999-12-31,2010-04-01,184.4
114,2010-06-16,2010-10-13,2010-05-01,185.0
115,2010-10-14,9999-12-31,2010-05-01,184.8
116,2010-07-15,2010-11-15,2010-06-01,183.7
117,2010-11-16,9999-12-31,2010-06-01,183.5
118,2010-08-17,2010-12-13,2010-07-01,184.2
119,2010-12-14,9999-12-31,2010-07-01,184.1
120,2010-09-16,2011-01-12,2010-08-01,184.5
121,2011-01-13,9999-12-31,2010-08-01,184.9
122,2010-10-14,2011-02-13,2010-09-01,185.1
123,2011-02-14,9999-12-31,2010-09-01,184.9
124,2010-11-16,2011-03-15,2010-10-01,186.8
125,2011-03-16,9999-12-31,2010-10-01,186.6
126,2010-12-14,2011-04-13,2010-11-01,188.0
