,realtime_start,realtime_end,date,value
0,2024-12-18,2024-12-18,2005-01-03,1.92
1,2024-12-18,2024-12-18,2005-01-04,2.04
2,2024-12-18,2024-12-18,2005-01-05,2.04
3,2024-12-18,2024-12-18,2005-01-06,2.04
4,2024-12-18,2024-12-18,2005-01-07,2.05
5,2024-12-18,2024-12-18,2005-01-10,2.03
6,2024-12-18,2024-12-18,2005-01-11,2.02
7,2024-12-18,2024-12-18,2005-01-12,2.00
8,2024-12-18,2024-12-18,2005-01-13,1.91
9,2024-12-18,2024-12-18,2005-01-14,1.94
10,2024-12-18,2024-12-18,2005-01-17,.
11,2024-12-18,2024-12-18,2005-01-18,1.90
12,2024-12-18,2024-12-18,2005-01-19,2.01
13,2024-12-18,2024-12-18,2005-01-20,1.92
14,2024-12-18,2024-12-18,2005-01-21,1.90
15,2024-12-18,2024-12-18,2005-01-24,1.88
16,2024-12-18,2024-12-18,2005-01-25,1.91
17,2024-12-18,2024-12-18,2005-01-26,1.88
18,2024-12-18,2024-12-18,2005-01-27,1.83
19,2024-12-18,2024-12-18,2005-01-28,1.68
20,2024-12-18,2024-12-18,2005-01-31,1.64
21,2024-12-18,2024-12-18,2005-02-01,1.75
22,2024-12-18,2024-12-18,2005-02-02,1.86
23,2024-12-18,2024-12-18,2005-02-03,1.69
24,2024-12-18,2024-12-18,2005-02-04,1.58
25,2024-12-18,2024-12-18,2005-02-07,1.57
26,2024-12-18,2024-12-18,2005-02-08,1.57
27,2024-12-18,2024-12-18,2005-02-09,1.50
28,2024-12-18,2024-12-18,2005-02-10,1.56
29,2024-12-18,2024-12-18,2005-02-11,1.60
30,2024-12-18,2024-12-18,2005-02-14,1.57
31,2024-12-18,2024-12-18,2005-02-15,1.57
32,2024-12-18,2024-12-18,2005-02-16,1.68
33,2024-12-18,2024-12-18,2005-02-17,1.69
34,2024-12-18,2024-12-18,2005-02-18,1.76
35,2024-12-18,2024-12-18,2005-02-21,.
36,2024-12-18,2024-12-18,2005-02-22,1.72
37,2024-12-18,2024-12-18,2005-02-23,1.74
38,2024-12-18,2024-12-18,2005-02-24,1.74
39,2024-12-18,2024-12-18,2005-02-25,1.73
40,2024-12-18,2024-12-18,2005-02-28,1.84
41,2024-12-18,2024-12-18,2005-03-01,1.99
42,2024-12-18,2024-12-18,2005-03-02,1.90
43,2024-12-18,2024-12-18,2005-03-03,1.88
44,2024-12-18,2024-12-18,2005-03-04,1.82
45,2024-12-18,2024-12-18,2005-03-07,1.80
46,2024-12-18,2024-12-18,2005-03-08,1.89
47,2024-12-18,2024-12-18,2005-03-09,2.02
48,2024-12-18,2024-12-18,2005-03-10,1.96
49,2024-12-18,2024-12-18,2005-03-11,2.05
50,2024-12-18,2024-12-18,2005-03-14,1.93
51,2024-12-18,2024-12-18,2005-03-15,1.93
52,2024-12-18,2024-12-18,2005-03-16,1.95
53,2024-12-18,2024-12-18,2005-03-17,1.79
54,2024-12-18,2024-12-18,2005-03-18,1.81
55,2024-12-18,2024-12-18,2005-03-21,1.82
56,2024-12-18,2024-12-18,2005-03-22,1.91
57,2024-12-18,2024-12-18,2005-03-23,1.88
58,2024-12-18,2024-12-18,2005-03-24,1.85
59,2024-12-18,2024-12-18,2005-03-25,.
60,2024-12-18,2024-12-18,2005-03-28,1.85
61,2024-12-18,2024-12-18,2005-03-29,1.88
62,2024-12-18,2024-12-18,2005-03-30,1.82
63,2024-12-18,2024-12-18,2005-03-31,1.54
64,2024-12-18,2024-12-18,2005-04-01,1.63
65,2024-12-18,2024-12-18,2005-04-04,1.69
66,2024-12-18,2024-12-18,2005-04-05,1.76
67,2024-12-18,2024-12-18,2005-04-06,1.71
68,2024-12-18,2024-12-18,2005-04-07,1.73
69,2024-12-18,2024-12-18,2005-04-08,1.75
70,2024-12-18,2024-12-18,2005-04-11,1.67
71,2024-12-18,2024-12-18,2005-04-12,1.61
72,2024-12-18,2024-12-18,2005-04-13,1.62
73,2024-12-18,2024-12-18,2005-04-14,1.58
74,2024-12-18,2024-12-18,2005-04-15,1.45
75,2024-12-18,2024-12-18,2005-04-18,1.52
76,2024-12-18,2024-12-18,2005-04-19,1.47
77,2024-12-18,2024-12-18,2005-04-20,1.48
78,2024-12-18,2024-12-18,2005-04-21,1.57
79,2024-12-18,2024-12-18,2005-04-22,1.52
80,2024-12-18,2024-12-18,2005-04-25,1.44
81,2024-12-18,2024-12-18,2005-04-26,1.50
82,2024-12-18,2024-12-18,2005-04-27,1.62
83,2024-12-18,2024-12-18,2005-04-28,1.30
84,2024-12-18,2024-12-18,2005-04-29,1.24
85,2024-12-18,2024-12-18,2005-05-02,1.23
86,2024-12-18,2024-12-18,2005-05-03,1.26
87,2024-12-18,2024-12-18,2005-05-04,1.21
88,2024-12-18,2024-12-18,2005-05-05,1.20
89,2024-12-18,2024-12-18,2005-05-06,1.30
90,2024-12-18,2024-12-18,2005-05-09,1.30
91,2024-12-18,2024-12-18,2005-05-10,1.24
92,2024-12-18,2024-12-18,2005-05-11,1.22
93,2024-12-18,2024-12-18,2005-05-12,1.17
94,2024-12-18,2024-12-18,2005-05-13,1.11
95,2024-12-18,2024-12-18,2005-05-16,1.07
96,2024-12-18,2024-12-18,2005-05-17,1.13
97,2024-12-18,2024-12-18,2005-05-18,1.07
98,2024-12-18,2024-12-18,2005-05-19,1.09
99,2024-12-18,2024-12-18,2005-05-20,1.12
100,2024-12-18,2024-12-18,2005-05-23,1.06
101,2024-12-18,2024-12-18,2005-05-24,1.05
102,2024-12-18,2024-12-18,2005-05-25,1.07
103,2024-12-18,2024-12-18,2005-05-26,1.07
104,2024-12-18,2024-12-18,2005-05-27,1.07
105,2024-12-18,2024-12-18,2005-05-30,.
106,2024-12-18,2024-12-18,2005-05-31,0.91
107,2024-12-18,2024-12-18,2005-06-01,0.89
108,2024-12-18,2024-12-18,2005-06-02,0.89
109,2024-12-18,2024-12-18,2005-06-03,0.99
110,2024-12-18,2024-12-18,2005-06-06,0.96
111,2024-12-18,2024-12-18,2005-06-07,0.96
112,2024-12-18,2024-12-18,2005-06-08,0.99
113,2024-12-18,2024-12-18,2005-06-09,0.97
114,2024-12-18,2024-12-18,2005-06-10,1.04
115,2024-12-18,2024-12-18,2005-06-13,1.05
116,2024-12-18,2024-12-18,2005-06-14,1.12
117,2024-12-18,2024-12-18,2005-06-15,1.07
118,2024-12-18,2024-12-18,2005-06-16,1.09
119,2024-12-18,2024-12-18,2005-06-17,1.10
120,2024-12-18,2024-12-18,2005-06-20,1.10
121,2024-12-18,2024-12-18,2005-06-21,1.10
122,2024-12-18,2024-12-18,2005-06-22,1.02
123,2024-12-18,2024-12-18,2005-06-23,0.91
124,2024-12-18,2024-12-18,2005-06-24,0.85
125,2024-12-18,2024-12-18,2005-06-27,0.73
126,2024-12-18,2024-12-18,2005-06-28,0.80
127,2024-12-18,2024-12-18,2005-06-29,0.79
128,2024-12-18,2024-12-18,2005-06-30,0.59
129,2024-12-18,2024-12-18,2005-07-01,0.70
130,2024-12-18,2024-12-18,2005-07-04,.
131,2024-12-18,2024-12-18,2005-07-05,0.84
132,2024-12-18,2024-12-18,2005-07-06,1.09
133,2024-12-18,2024-12-18,2005-07-07,0.87
134,2024-12-18,2024-12-18,2005-07-08,0.89
135,2024-12-18,2024-12-18,2005-07-11,0.88
136,2024-12-18,2024-12-18,2005-07-12,0.92
137,2024-12-18,2024-12-18,2005-07-13,0.90
138,2024-12-18,2024-12-18,2005-07-14,0.87
139,2024-12-18,2024-12-18,2005-07-15,0.86
140,2024-12-18,2024-12-18,2005-07-18,1.03
141,2024-12-18,2024-12-18,2005-07-19,1.07
142,2024-12-18,2024-12-18,2005-07-20,0.92
143,2024-12-18,2024-12-18,2005-07-21,1.01
144,2024-12-18,2024-12-18,2005-07-22,0.98
145,2024-12-18,2024-12-18,2005-07-25,0.97
146,2024-12-18,2024-12-18,2005-07-26,0.99
147,2024-12-18,2024-12-18,2005-07-27,1.00
148,2024-12-18,2024-12-18,2005-07-28,0.93
149,2024-12-18,2024-12-18,2005-07-29,0.97
150,2024-12-18,2024-12-18,2005-08-01,1.02
151,2024-12-18,2024-12-18,2005-08-02,1.14
152,2024-12-18,2024-12-18,2005-08-03,0.95
153,2024-12-18,2024-12-18,2005-08-04,0.88
154,2024-12-18,2024-12-18,2005-08-05,0.91
155,2024-12-18,2024-12-18,2005-08-08,0.92
156,2024-12-18,2024-12-18,2005-08-09,0.94
157,2024-12-18,2024-12-18,2005-08-10,0.92
158,2024-12-18,2024-12-18,2005-08-11,0.81
159,2024-12-18,2024-12-18,2005-08-12,0.69
160,2024-12-18,2024-12-18,2005-08-15,0.66
161,2024-12-18,2024-12-18,2005-08-16,0.77
162,2024-12-18,2024-12-18,2005-08-17,0.71
163,2024-12-18,2024-12-18,2005-08-18,0.71
164,2024-12-18,2024-12-18,2005-08-19,0.67
165,2024-12-18,2024-12-18,2005-08-22,0.71
166,2024-12-18,2024-12-18,2005-08-23,0.71
167,2024-12-18,2024-12-18,2005-08-24,0.69
168,2024-12-18,2024-12-18,2005-08-25,0.63
169,2024-12-18,2024-12-18,2005-08-26,0.66
170,2024-12-18,2024-12-18,2005-08-29,0.66
171,2024-12-18,2024-12-18,2005-08-30,0.64
172,2024-12-18,2024-12-18,2005-08-31,0.39
173,2024-12-18,2024-12-18,2005-09-01,0.45
174,2024-12-18,2024-12-18,2005-09-02,0.54
175,2024-12-18,2024-12-18,2005-09-05,.
176,2024-12-18,2024-12-18,2005-09-06,0.52
177,2024-12-18,2024-12-18,2005-09-07,0.67
178,2024-12-18,2024-12-18,2005-09-08,0.66
179,2024-12-18,2024-12-18,2005-09-09,0.65
180,2024-12-18,2024-12-18,2005-09-12,0.68
181,2024-12-18,2024-12-18,2005-09-13,0.69
182,2024-12-18,2024-12-18,2005-09-14,0.63
183,2024-12-18,2024-12-18,2005-09-15,0.55
184,2024-12-18,2024-12-18,2005-09-16,0.64
185,2024-12-18,2024-12-18,2005-09-19,0.63
186,2024-12-18,2024-12-18,2005-09-20,0.59
187,2024-12-18,2024-12-18,2005-09-21,0.47
188,2024-12-18,2024-12-18,2005-09-22,0.42
189,2024-12-18,2024-12-18,2005-09-23,0.49
190,2024-12-18,2024-12-18,2005-09-26,0.47
191,2024-12-18,2024-12-18,2005-09-27,0.57
192,2024-12-18,2024-12-18,2005-09-28,0.50
193,2024-12-18,2024-12-18,2005-09-29,0.47
194,2024-12-18,2024-12-18,2005-09-30,0.41
195,2024-12-18,2024-12-18,2005-10-03,0.52
196,2024-12-18,2024-12-18,2005-10-04,0.63
197,2024-12-18,2024-12-18,2005-10-05,0.61
198,2024-12-18,2024-12-18,2005-10-06,0.61
199,2024-12-18,2024-12-18,2005-10-07,0.62
200,2024-12-18,2024-12-18,2005-10-10,.
201,2024-12-18,2024-12-18,2005-10-11,0.67
202,2024-12-18,2024-12-18,2005-10-12,1.09
203,2024-12-18,2024-12-18,2005-10-13,0.73
204,2024-12-18,2024-12-18,2005-10-14,0.71
205,2024-12-18,2024-12-18,2005-10-17,0.68
206,2024-12-18,2024-12-18,2005-10-18,0.78
207,2024-12-18,2024-12-18,2005-10-19,0.76
208,2024-12-18,2024-12-18,2005-10-20,0.69
209,2024-12-18,2024-12-18,2005-10-21,0.63
210,2024-12-18,2024-12-18,2005-10-24,0.69
211,2024-12-18,2024-12-18,2005-10-25,0.80
212,2024-12-18,2024-12-18,2005-10-26,0.85
213,2024-12-18,2024-12-18,2005-10-27,0.72
214,2024-12-18,2024-12-18,2005-10-28,0.68
215,2024-12-18,2024-12-18,2005-10-31,0.55
216,2024-12-18,2024-12-18,2005-11-01,0.59
217,2024-12-18,2024-12-18,2005-11-02,0.62
218,2024-12-18,2024-12-18,2005-11-03,0.64
219,2024-12-18,2024-12-18,2005-11-04,0.66
220,2024-12-18,2024-12-18,2005-11-07,0.66
221,2024-12-18,2024-12-18,2005-11-08,0.62
222,2024-12-18,2024-12-18,2005-11-09,0.62
223,2024-12-18,2024-12-18,2005-11-10,0.57
224,2024-12-18,2024-12-18,2005-11-11,.
225,2024-12-18,2024-12-18,2005-11-14,0.58
226,2024-12-18,2024-12-18,2005-11-15,0.59
227,2024-12-18,2024-12-18,2005-11-16,0.53
228,2024-12-18,2024-12-18,2005-11-17,0.48
229,2024-12-18,2024-12-18,2005-11-18,0.50
230,2024-12-18,2024-12-18,2005-11-21,0.43
231,2024-12-18,2024-12-18,2005-11-22,0.44
232,2024-12-18,2024-12-18,2005-11-23,0.46
233,2024-12-18,2024-12-18,2005-11-24,.
234,2024-12-18,2024-12-18,2005-11-25,0.40
235,2024-12-18,2024-12-18,2005-11-28,0.40
236,2024-12-18,2024-12-18,2005-11-29,0.49
237,2024-12-18,2024-12-18,2005-11-30,0.46
238,2024-12-18,2024-12-18,2005-12-01,0.49
239,2024-12-18,2024-12-18,2005-12-02,0.52
240,2024-12-18,2024-12-18,2005-12-05,0.55
241,2024-12-18,2024-12-18,2005-12-06,0.52
242,2024-12-18,2024-12-18,2005-12-07,0.54
243,2024-12-18,2024-12-18,2005-12-08,0.38
244,2024-12-18,2024-12-18,2005-12-09,0.38
245,2024-12-18,2024-12-18,2005-12-12,0.32
246,2024-12-18,2024-12-18,2005-12-13,0.31
247,2024-12-18,2024-12-18,2005-12-14,0.19
248,2024-12-18,2024-12-18,2005-12-15,0.18
249,2024-12-18,2024-12-18,2005-12-16,0.20
250,2024-12-18,2024-12-18,2005-12-19,0.20
251,2024-12-18,2024-12-18,2005-12-20,0.17
252,2024-12-18,2024-12-18,2005-12-21,0.41
253,2024-12-18,2024-12-18,2005-12-22,0.19
254,2024-12-18,2024-12-18,2005-12-23,0.17
255,2024-12-18,2024-12-18,2005-12-26,.
256,2024-12-18,2024-12-18,2005-12-27,0.08
257,2024-12-18,2024-12-18,2005-12-28,0.19
258,2024-12-18,2024-12-18,2005-12-29,0.19
259,2024-12-18,2024-12-18,2005-12-30,0.30
260,2024-12-18,2024-12-18,2006-01-02,.
261,2024-12-18,2024-12-18,2006-01-03,0.03
262,2024-12-18,2024-12-18,2006-01-04,0.14
263,2024-12-18,2024-12-18,2006-01-05,0.12
264,2024-12-18,2024-12-18,2006-01-06,0.16
265,2024-12-18,2024-12-18,2006-01-09,0.13
266,2024-12-18,2024-12-18,2006-01-10,0.19
267,2024-12-18,2024-12-18,2006-01-11,0.22
268,2024-12-18,2024-12-18,2006-01-12,0.14
269,2024-12-18,2024-12-18,2006-01-13,0.06
270,2024-12-18,2024-12-18,2006-01-16,.
271,2024-12-18,2024-12-18,2006-01-17,0.02
272,2024-12-18,2024-12-18,2006-01-18,0.10
273,2024-12-18,2024-12-18,2006-01-19,0.15
274,2024-12-18,2024-12-18,2006-01-20,0.13
275,2024-12-18,2024-12-18,2006-01-23,0.10
276,2024-12-18,2024-12-18,2006-01-24,0.12
277,2024-12-18,2024-12-18,2006-01-25,0.13
278,2024-12-18,2024-12-18,2006-01-26,0.16
279,2024-12-18,2024-12-18,2006-01-27,0.10
280,2024-12-18,2024-12-18,2006-01-30,0.06
281,2024-12-18,2024-12-18,2006-01-31,0.06
282,2024-12-18,2024-12-18,2006-02-01,0.10
283,2024-12-18,2024-12-18,2006-02-02,0.09
284,2024-12-18,2024-12-18,2006-02-03,0.03
285,2024-12-18,2024-12-18,2006-02-06,0.04
286,2024-12-18,2024-12-18,2006-02-07,0.10
287,2024-12-18,2024-12-18,2006-02-08,0.08
288,2024-12-18,2024-12-18,2006-02-09,0.02
289,2024-12-18,2024-12-18,2006-02-10,0.08
290,2024-12-18,2024-12-18,2006-02-13,0.14
291,2024-12-18,2024-12-18,2006-02-14,0.17
292,2024-12-18,2024-12-18,2006-02-15,0.11
293,2024-12-18,2024-12-18,2006-02-16,0.11
294,2024-12-18,2024-12-18,2006-02-17,0.06
295,2024-12-18,2024-12-18,2006-02-20,.
296,2024-12-18,2024-12-18,2006-02-21,0.03
297,2024-12-18,2024-12-18,2006-02-22,0.04
298,2024-12-18,2024-12-18,2006-02-23,0.09
299,2024-12-18,2024-12-18,2006-02-24,0.10
300,2024-12-18,2024-12-18,2006-02-27,0.07
301,2024-12-18,2024-12-18,2006-02-28,0.03
302,2024-12-18,2024-12-18,2006-03-01,0.07
303,2024-12-18,2024-12-18,2006-03-02,0.14
304,2024-12-18,2024-12-18,2006-03-03,0.17
305,2024-12-18,2024-12-18,2006-03-06,0.23
306,2024-12-18,2024-12-18,2006-03-07,0.23
307,2024-12-18,2024-12-18,2006-03-08,0.22
308,2024-12-18,2024-12-18,2006-03-09,0.23
309,2024-12-18,2024-12-18,2006-03-10,0.25
310,2024-12-18,2024-12-18,2006-03-13,0.25
311,2024-12-18,2024-12-18,2006-03-14,0.20
312,2024-12-18,2024-12-18,2006-03-15,0.26
313,2024-12-18,2024-12-18,2006-03-16,0.10
314,2024-12-18,2024-12-18,2006-03-17,0.08
315,2024-12-18,2024-12-18,2006-03-20,0.11
316,2024-12-18,2024-12-18,2006-03-21,0.17
317,2024-12-18,2024-12-18,2006-03-22,0.12
318,2024-12-18,2024-12-18,2006-03-23,0.09
319,2024-12-18,2024-12-18,2006-03-24,-0.02
320,2024-12-18,2024-12-18,2006-03-27,-0.07
321,2024-12-18,2024-12-18,2006-03-28,0.09
322,2024-12-18,2024-12-18,2006-03-29,0.12
323,2024-12-18,2024-12-18,2006-03-30,0.10
324,2024-12-18,2024-12-18,2006-03-31,-0.14
325,2024-12-18,2024-12-18,2006-04-03,0.01
326,2024-12-18,2024-12-18,2006-04-04,0.11
327,2024-12-18,2024-12-18,2006-04-05,0.08
328,2024-12-18,2024-12-18,2006-04-06,0.14
329,2024-12-18,2024-12-18,2006-04-07,0.21
330,2024-12-18,2024-12-18,2006-04-10,0.19
331,2024-12-18,2024-12-18,2006-04-11,0.19
332,2024-12-18,2024-12-18,2006-04-12,0.20
333,2024-12-18,2024-12-18,2006-04-13,0.23
334,2024-12-18,2024-12-18,2006-04-14,.
335,2024-12-18,2024-12-18,2006-04-17,0.23
336,2024-12-18,2024-12-18,2006-04-18,0.27
337,2024-12-18,2024-12-18,2006-04-19,0.34
338,2024-12-18,2024-12-18,2006-04-20,0.31
339,2024-12-18,2024-12-18,2006-04-21,0.27
340,2024-12-18,2024-12-18,2006-04-24,0.22
341,2024-12-18,2024-12-18,2006-04-25,0.33
342,2024-12-18,2024-12-18,2006-04-26,0.39
343,2024-12-18,2024-12-18,2006-04-27,0.30
344,2024-12-18,2024-12-18,2006-04-28,0.21
345,2024-12-18,2024-12-18,2006-05-01,0.30
346,2024-12-18,2024-12-18,2006-05-02,0.33
347,2024-12-18,2024-12-18,2006-05-03,0.34
348,2024-12-18,2024-12-18,2006-05-04,0.33
349,2024-12-18,2024-12-18,2006-05-05,0.29
350,2024-12-18,2024-12-18,2006-05-08,0.24
351,2024-12-18,2024-12-18,2006-05-09,0.35
352,2024-12-18,2024-12-18,2006-05-10,0.25
353,2024-12-18,2024-12-18,2006-05-11,0.15
354,2024-12-18,2024-12-18,2006-05-12,0.18
355,2024-12-18,2024-12-18,2006-05-15,0.14
356,2024-12-18,2024-12-18,2006-05-16,0.12
357,2024-12-18,2024-12-18,2006-05-17,0.20
358,2024-12-18,2024-12-18,2006-05-18,0.08
359,2024-12-18,2024-12-18,2006-05-19,0.05
360,2024-12-18,2024-12-18,2006-05-22,0.04
361,2024-12-18,2024-12-18,2006-05-23,0.13
362,2024-12-18,2024-12-18,2006-05-24,0.13
363,2024-12-18,2024-12-18,2006-05-25,0.06
364,2024-12-18,2024-12-18,2006-05-26,0.07
365,2024-12-18,2024-12-18,2006-05-29,.
366,2024-12-18,2024-12-18,2006-05-30,0.07
367,2024-12-18,2024-12-18,2006-05-31,0.07
368,2024-12-18,2024-12-18,2006-06-01,0.09
369,2024-12-18,2024-12-18,2006-06-02,0.03
370,2024-12-18,2024-12-18,2006-06-05,0.01
371,2024-12-18,2024-12-18,2006-06-06,0.02
372,2024-12-18,2024-12-18,2006-06-07,0.03
373,2024-12-18,2024-12-18,2006-06-08,-0.02
374,2024-12-18,2024-12-18,2006-06-09,-0.02
375,2024-12-18,2024-12-18,2006-06-12,-0.02
376,2024-12-18,2024-12-18,2006-06-13,-0.03
377,2024-12-18,2024-12-18,2006-06-14,0.05
378,2024-12-18,2024-12-18,2006-06-15,0.08
379,2024-12-18,2024-12-18,2006-06-16,0.19
380,2024-12-18,2024-12-18,2006-06-19,0.19
381,2024-12-18,2024-12-18,2006-06-20,0.23
382,2024-12-18,2024-12-18,2006-06-21,0.25
383,2024-12-18,2024-12-18,2006-06-22,0.22
384,2024-12-18,2024-12-18,2006-06-23,0.25
385,2024-12-18,2024-12-18,2006-06-26,0.22
386,2024-12-18,2024-12-18,2006-06-27,0.19
387,2024-12-18,2024-12-18,2006-06-28,0.19
388,2024-12-18,2024-12-18,2006-06-29,0.14
389,2024-12-18,2024-12-18,2006-06-30,0.10
390,2024-12-18,2024-12-18,2006-07-03,-0.10
391,2024-12-18,2024-12-18,2006-07-04,.
392,2024-12-18,2024-12-18,2006-07-05,-0.02
393,2024-12-18,2024-12-18,2006-07-06,-0.05
394,2024-12-18,2024-12-18,2006-07-07,-0.08
395,2024-12-18,2024-12-18,2006-07-10,-0.11
396,2024-12-18,2024-12-18,2006-07-11,-0.15
397,2024-12-18,2024-12-18,2006-07-12,-0.17
398,2024-12-18,2024-12-18,2006-07-13,-0.18
399,2024-12-18,2024-12-18,2006-07-14,-0.19
400,2024-12-18,2024-12-18,2006-07-17,-0.21
401,2024-12-18,2024-12-18,2006-07-18,-0.09
402,2024-12-18,2024-12-18,2006-07-19,-0.17
403,2024-12-18,2024-12-18,2006-07-20,-0.21
404,2024-12-18,2024-12-18,2006-07-21,-0.18
405,2024-12-18,2024-12-18,2006-07-24,-0.19
406,2024-12-18,2024-12-18,2006-07-25,-0.17
407,2024-12-18,2024-12-18,2006-07-26,-0.20
408,2024-12-18,2024-12-18,2006-07-27,-0.20
409,2024-12-18,2024-12-18,2006-07-28,-0.26
410,2024-12-18,2024-12-18,2006-07-31,-0.32
411,2024-12-18,2024-12-18,2006-08-01,-0.28
412,2024-12-18,2024-12-18,2006-08-02,-0.29
413,2024-12-18,2024-12-18,2006-08-03,-0.31
414,2024-12-18,2024-12-18,2006-08-04,-0.34
415,2024-12-18,2024-12-18,2006-08-07,-0.31
416,2024-12-18,2024-12-18,2006-08-08,-0.33
417,2024-12-18,2024-12-18,2006-08-09,-0.33
418,2024-12-18,2024-12-18,2006-08-10,-0.31
419,2024-12-18,2024-12-18,2006-08-11,-0.27
420,2024-12-18,2024-12-18,2006-08-14,-0.26
421,2024-12-18,2024-12-18,2006-08-15,-0.31
422,2024-12-18,2024-12-18,2006-08-16,-0.30
423,2024-12-18,2024-12-18,2006-08-17,-0.33
424,2024-12-18,2024-12-18,2006-08-18,-0.41
425,2024-12-18,2024-12-18,2006-08-21,-0.42
426,2024-12-18,2024-12-18,2006-08-22,-0.42
427,2024-12-18,2024-12-18,2006-08-23,-0.43
428,2024-12-18,2024-12-18,2006-08-24,-0.44
429,2024-12-18,2024-12-18,2006-08-25,-0.46
430,2024-12-18,2024-12-18,2006-08-28,-0.45
431,2024-12-18,2024-12-18,2006-08-29,-0.44
432,2024-12-18,2024-12-18,2006-08-30,-0.49
433,2024-12-18,2024-12-18,2006-08-31,-0.57
434,2024-12-18,2024-12-18,2006-09-01,-0.52
435,2024-12-18,2024-12-18,2006-09-04,.
436,2024-12-18,2024-12-18,2006-09-05,-0.48
437,2024-12-18,2024-12-18,2006-09-06,-0.41
438,2024-12-18,2024-12-18,2006-09-07,-0.43
439,2024-12-18,2024-12-18,2006-09-08,-0.45
440,2024-12-18,2024-12-18,2006-09-11,-0.44
441,2024-12-18,2024-12-18,2006-09-12,-0.43
442,2024-12-18,2024-12-18,2006-09-13,-0.49
443,2024-12-18,2024-12-18,2006-09-14,-0.47
444,2024-12-18,2024-12-18,2006-09-15,-0.45
445,2024-12-18,2024-12-18,2006-09-18,-0.42
446,2024-12-18,2024-12-18,2006-09-19,-0.47
447,2024-12-18,2024-12-18,2006-09-20,-0.50
448,2024-12-18,2024-12-18,2006-09-21,-0.59
449,2024-12-18,2024-12-18,2006-09-22,-0.67
450,2024-12-18,2024-12-18,2006-09-25,-0.74
451,2024-12-18,2024-12-18,2006-09-26,-0.66
452,2024-12-18,2024-12-18,2006-09-27,-0.70
453,2024-12-18,2024-12-18,2006-09-28,-0.65
454,2024-12-18,2024-12-18,2006-09-29,-0.70
455,2024-12-18,2024-12-18,2006-10-02,-0.71
456,2024-12-18,2024-12-18,2006-10-03,-0.63
457,2024-12-18,2024-12-18,2006-10-04,-0.66
458,2024-12-18,2024-12-18,2006-10-05,-0.62
459,2024-12-18,2024-12-18,2006-10-06,-0.52
460,2024-12-18,2024-12-18,2006-10-09,.
461,2024-12-18,2024-12-18,2006-10-10,-0.53
462,2024-12-18,2024-12-18,2006-10-11,-0.47
463,2024-12-18,2024-12-18,2006-10-12,-0.46
464,2024-12-18,2024-12-18,2006-10-13,-0.40
465,2024-12-18,2024-12-18,2006-10-16,-0.49
466,2024-12-18,2024-12-18,2006-10-17,-0.43
467,2024-12-18,2024-12-18,2006-10-18,-0.46
468,2024-12-18,2024-12-18,2006-10-19,-0.43
469,2024-12-18,2024-12-18,2006-10-20,-0.46
