,realtime_start,realtime_end,date,value
0,2005-02-04,9999-12-31,2005-01-01,95.5
1,2005-03-04,9999-12-31,2005-02-01,94.1
2,2005-04-01,9999-12-31,2005-03-01,92.6
3,2005-04-29,9999-12-31,2005-04-01,87.7
4,2005-05-27,9999-12-31,2005-05-01,86.9
5,2005-07-01,9999-12-31,2005-06-01,96.0
6,2005-07-29,9999-12-31,2005-07-01,96.5
7,2005-08-26,9999-12-31,2005-08-01,89.1
8,2005-09-30,9999-12-31,2005-09-01,76.9
9,2005-10-28,9999-12-31,2005-10-01,74.2
10,2005-11-23,9999-12-31,2005-11-01,81.6
11,2005-12-23,9999-12-31,2005-12-01,91.5
12,2006-02-03,9999-12-31,2006-01-01,91.2
13,2006-03-03,9999-12-31,2006-02-01,86.7
14,2006-03-31,9999-12-31,2006-03-01,88.9
15,2006-04-28,9999-12-31,2006-04-01,87.4
16,2006-05-26,9999-12-31,2006-05-01,79.1
17,2006-06-30,9999-12-31,2006-06-01,84.9
18,2006-07-28,9999-12-31,2006-07-01,84.7
19,2006-09-01,9999-12-31,2006-08-01,82.0
20,2006-09-29,9999-12-31,2006-09-01,85.4
21,2006-10-27,9999-12-31,2006-10-01,93.6
22,2006-11-22,9999-12-31,2006-11-01,92.1
23,2006-12-22,9999-12-31,2006-12-01,91.7
24,2007-02-02,9999-12-31,2007-01-01,96.9
25,2007-03-02,9999-12-31,2007-02-01,91.3
26,2007-03-30,9999-12-31,2007-03-01,88.4
27,2007-04-27,9999-12-31,2007-04-01,87.1
28,2007-06-01,9999-12-31,2007-05-01,88.3
29,2007-06-29,9999-12-31,2007-06-01,85.3
30,2007-07-27,9999-12-31,2007-07-01,90.4
31,2007-08-31,9999-12-31,2007-08-01,83.4
32,2007-09-28,9999-12-31,2007-09-01,83.4
33,2007-10-26,9999-12-31,2007-10-01,80.9
34,2007-11-21,9999-12-31,2007-11-01,76.1
35,2007-12-21,9999-12-31,2007-12-01,75.5
36,2008-02-01,9999-12-31,2008-01-01,78.4
37,2008-02-29,9999-12-31,2008-02-01,70.8
38,2008-03-28,9999-12-31,2008-03-01,69.5
39,2008-04-25,9999-12-31,2008-04-01,62.6
40,2008-05-30,9999-12-31,2008-05-01,59.8
41,2008-06-27,9999-12-31,2008-06-01,56.4
42,2008-07-25,9999-12-31,2008-07-01,61.2
43,2008-08-29,9999-12-31,2008-08-01,63.0
44,2008-09-26,9999-12-31,2008-09-01,70.3
45,2008-10-31,9999-12-31,2008-10-01,57.6
46,2008-11-26,9999-12-31,2008-11-01,55.3
47,2008-12-23,9999-12-31,2008-12-01,60.1
48,2009-01-30,9999-12-31,2009-01-01,61.2
49,2009-02-27,9999-12-31,2009-02-01,56.3
50,2009-03-27,9999-12-31,2009-03-01,57.3
51,2009-05-01,9999-12-31,2009-04-01,65.1
52,2009-05-29,9999-12-31,2009-05-01,68.7
53,2009-06-26,9999-12-31,2009-06-01,70.8
54,2009-07-24,9999-12-31,2009-07-01,66.0
55,2009-08-28,9999-12-31,2009-08-01,65.7
56,2009-09-25,9999-12-31,2009-09-01,73.5
57,2009-10-30,9999-12-31,2009-10-01,70.6
58,2009-11-25,9999-12-31,2009-11-01,67.4
59,2009-12-23,9999-12-31,2009-12-01,72.5
60,2010-01-29,9999-12-31,2010-01-01,74.4
61,2010-02-26,9999-12-31,2010-02-01,73.6
62,2010-03-26,9999-12-31,2010-03-01,73.6
63,2010-04-30,9999-12-31,2010-04-01,72.2
64,2010-05-28,9999-12-31,2010-05-01,73.6
65,2010-06-25,9999-12-31,2010-06-01,76.0
66,2010-07-30,9999-12-31,2010-07-01,67.8
67,2010-08-27,9999-12-31,2010-08-01,68.9
68,2010-10-01,9999-12-31,2010-09-01,68.2
