Date,加權指數,波段低點區間,波段高點區間
2000/1/4,8756.55,0,1
2000/1/5,8849.87,0,1
2000/1/6,8922.03,0,1
2000/1/7,8845.47,0,1
2000/1/10,9102.6,0,1
2000/1/11,8927.03,0,1
2000/1/12,9144.65,0,1
2000/1/13,9107.19,0,1
2000/1/14,9023.24,0,1
2000/1/15,9191.37,0,1
2000/1/17,9315.43,0,1
2000/1/18,9250.19,0,1
2000/1/19,9151.44,0,1
2000/1/20,9136.95,0,1
2000/1/21,9255.94,0,1
2000/1/24,9387.07,0,1
2000/1/25,9372.37,0,1
2000/1/26,9581.96,0,1
2000/1/27,9628.98,0,1
2000/1/28,9696.91,0,1
2000/1/29,9636.38,0,1
2000/1/31,9744.89,0,1
2000/2/1,9856.39,0,1
2000/2/9,10008.9,0,1
2000/2/10,10057.7,0,1
2000/2/11,10128.7,0,1
2000/2/14,9971.45,0,1
2000/2/15,9957.74,0,1
2000/2/16,10064.5,0,1
2000/2/17,10202.2,0,1
2000/2/18,10096.4,0,1
2000/2/19,10161,0,1
2000/2/21,9912.67,0,1
2000/2/22,9731.93,0,1
2000/2/23,9642.26,0,1
2000/2/24,9599.17,0,1
2000/2/25,9432.49,0,1
2000/2/29,9435.94,0,1
2000/3/1,9689.1,0,1
2000/3/2,9543.82,0,1
2000/3/3,9588.03,0,1
2000/3/4,9517.97,0,1
2000/3/6,9367.91,0,1
2000/3/7,9380.07,0,1
2000/3/8,9389.49,0,1
2000/3/9,9587.27,0,1
2000/3/10,9429.6,0,1
2000/3/13,8811.95,0,1
2000/3/14,8835.58,0,1
2000/3/15,8640.03,0,1
2000/3/16,8682.76,0,1
2000/3/17,8763.27,0,1
2000/3/20,8536.05,0,1
2000/3/21,9004.48,0,1
2000/3/22,9069.39,0,1
2000/3/23,9533.87,0,1
2000/3/24,9482.64,0,1
2000/3/27,9807.57,0,1
2000/3/28,9856.6,0,1
2000/3/29,9805.69,0,1
2000/3/30,9931.94,0,1
2000/3/31,9854.95,0,1
2000/4/1,10050.4,0,1
2000/4/5,10186.2,0,1
2000/4/6,9969.28,0,1
2000/4/7,9921.03,0,1
2000/4/8,9934.57,0,1
2000/4/10,10127.5,0,1
2000/4/11,10068,0,1
2000/4/12,9911.39,0,1
2000/4/13,9662.6,0,1
2000/4/14,9374.61,0,1
2000/4/15,8866.8,0,1
2000/4/17,8993.68,0,1
2000/4/18,9307.03,0,1
2000/4/19,9104.4,0,1
2000/4/20,9109.05,0,1
2000/4/21,9120.48,0,1
2000/4/24,8808.09,0,1
2000/4/25,8921.12,0,1
2000/4/26,8535.96,0,1
2000/4/27,8541.95,0,1
2000/4/28,8824.36,0,1
2000/4/29,8777.35,0,1
2000/5/2,8638.75,0,1
2000/5/3,8420,0,1
2000/5/4,8425.38,0,1
2000/5/5,8698.53,0,1
2000/5/6,8657.13,0,1
2000/5/8,8616.18,0,1
2000/5/9,8635.84,0,1
2000/5/10,8559.87,0,1
2000/5/11,8349.91,0,1
2000/5/12,8560.44,0,1
2000/5/15,8465.02,0,1
2000/5/16,8727.82,0,1
2000/5/17,9085.74,0,1
2000/5/18,9087.21,0,0
2000/5/19,9119.77,0,0
2000/5/20,8820.35,0,0
2000/5/22,8807.57,0,0
2000/5/23,8671.01,0,0
2000/5/24,8500.41,0,0
2000/5/25,8438.1,0,0
2000/5/26,8559.46,0,0
2000/5/29,8588.25,0,0
2000/5/30,8764.42,0,0
2000/5/31,8939.52,0,0
2000/6/1,8842.63,0,0
2000/6/2,8883.45,0,0
2000/6/3,8935.64,0,0
2000/6/5,8958.21,0,0
2000/6/7,9115.47,0,0
2000/6/8,9067.88,0,0
2000/6/9,9036.66,0,0
2000/6/12,8955.44,0,0
2000/6/13,8891.09,0,0
2000/6/14,8935.23,0,0
2000/6/15,8844.97,0,0
2000/6/16,8832.15,0,0
2000/6/17,8770.8,0,0
2000/6/19,8751.1,0,0
2000/6/20,8690.66,0,0
2000/6/21,8637.6,0,0
2000/6/22,8771.77,0,0
2000/6/23,8684.93,0,0
2000/6/26,8529.56,0,0
2000/6/27,8424.17,0,0
2000/6/28,8365.63,0,0
2000/6/29,8120.89,0,0
2000/6/30,8265.09,0,0
2000/7/3,8297.77,0,0
2000/7/4,8052.54,0,0
2000/7/5,8421.74,0,0
2000/7/6,8289.39,0,0
2000/7/7,8173.08,0,0
2000/7/10,8154.67,0,0
2000/7/11,8158.63,0,0
2000/7/12,8059.75,0,0
2000/7/13,8267.66,0,0
2000/7/14,8497.13,0,0
2000/7/15,8518.13,0,0
2000/7/17,8585.52,0,0
